,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 3,Omics 1 private topic 9
0,-1.7862257,-3.1956987,-5.8304796,2.4677916,-2.806186,-2.4271514,-5.642982
1,2.6072204,-2.158844,-3.3430877,-3.7965364,-3.7068644,-3.9741986,-5.697592
2,-3.5238526,2.2876003,-3.7451653,-1.2161443,-6.0307045,-4.7300873,-5.040004
3,-1.6227105,2.1215305,-4.6628113,-5.3104134,-3.0202827,-4.1124673,-3.954427
4,-1.2582552,-0.27098662,2.569429,-0.73224765,-3.0432465,-4.05523,-4.1903367
5,2.6253486,-0.5702673,-6.2553315,-0.36890352,-5.22123,-3.9058738,-4.42842
6,2.7717261,-4.510572,-0.31869367,-1.3829694,-4.2613916,-5.295714,-4.0808873
7,2.7124283,-1.5572424,-3.842109,-0.79105645,-2.263077,-3.626984,-5.2636704
8,-1.8539793,-1.0586364,-3.270318,2.5037897,-0.40124276,-2.602755,-5.058036
9,-2.1655767,-1.5486608,-1.3410507,-6.4199185,2.2397249,-4.148989,-4.688005
10,-4.469433,-3.3108714,-3.6790044,-3.292133,-2.144432,2.8573303,-3.0304444
11,2.7732077,-2.8178475,-5.5187016,-0.68747455,-0.7559319,-4.608596,-4.821474
12,-1.396357,2.1332567,-2.5557737,-3.258847,-1.315346,-3.3771298,-5.061712
13,-1.8872176,-0.6254412,-3.9994946,2.2683032,-4.916792,-3.616141,-4.542863
14,-0.56029767,-2.9843402,-1.821455,2.4114192,-1.99351,-2.3145223,-4.838011
15,-3.6605341,-1.1117507,2.594263,-2.3071265,-2.3576808,-3.4663343,-5.4898157
16,2.5971868,-0.17210755,-4.798063,-1.4193219,-0.38907364,-4.750326,-4.1456194
17,-4.674127,1.9639008,-2.4177942,-2.4208636,-0.84094626,-4.430011,-5.396787
18,-4.156167,-0.74365646,-1.5330915,-2.1376176,2.6382372,-4.079447,-5.8283315
19,-3.9726374,2.147632,-2.9269474,-1.9366915,-1.615377,-0.54769075,-3.6118972
20,-1.7359686,-6.128931,-1.5808835,-1.5876694,-0.5895529,-2.4370255,2.9241889
21,-3.6605318,-5.271937,2.341825,-3.3299935,-1.6295267,-3.0604746,-4.9155807
22,-5.555061,-2.0689435,-1.5848447,-5.3335924,-5.110669,2.7325318,-2.71545
23,-4.9821434,-4.0354195,-3.9756029,-2.626587,-5.214547,3.0701241,-5.521118
24,-2.2603407,-5.134719,-2.3212736,-2.1720722,-4.902458,2.984237,-4.776456
25,-4.957994,-1.2580025,2.8256948,-0.18444678,0.2517115,-5.200731,-4.7509317
26,-3.5868888,-2.4414113,-4.7431426,-5.3277335,-2.6701338,-4.959478,2.8530269
27,2.5391614,-2.1761584,-3.307348,-1.3323686,-0.87764865,-4.7682004,-4.723747
28,-5.065231,-2.0849404,-4.072007,-5.5412064,2.5117476,-3.852364,-5.2997947
29,-0.35137257,-4.3030615,-1.8051052,-4.202374,2.4866364,-3.6860652,-5.061202
30,-4.9213386,-1.4629987,-1.7231662,-1.6029063,2.5962121,-1.997542,-5.074069
31,-1.4314294,-3.6646073,-4.9686217,-0.14121157,-5.022679,2.8857052,-2.5948205
32,-5.0837903,-1.462312,-5.93267,-1.639021,-5.1986413,-4.4818664,2.7758288
33,-2.96187,-4.3103848,-4.7931976,-3.4510531,-5.611263,3.0930672,-4.8222246
34,-5.8518558,-1.1732585,-4.0809183,-2.445366,-5.652443,-1.7186718,2.7421668
35,-5.084684,1.987889,-4.3304834,-0.6863742,-5.7963424,-4.161969,-4.443268
36,2.7300754,-0.35801286,-1.3372127,-1.7711296,-1.9790725,-4.9226313,-4.316311
37,2.5491598,-0.5611795,-4.9690785,-5.352389,-3.2368028,-3.2311459,-5.0496726
38,-4.1555433,-0.7189398,-1.0524011,-4.9829516,-4.76673,3.1608977,-4.8550363
39,2.6325607,-1.2806282,-2.6189651,-1.0676391,-5.3512974,-4.5034704,-5.43417
40,-4.4795284,-3.434812,-4.292731,2.2773442,-5.618585,-2.774689,-4.7517314
41,-2.3031495,-1.3637829,-1.3336473,2.3630466,-0.17051679,-4.7837996,-3.9141448
42,-3.5765226,-2.1493077,-2.3535297,2.6956658,-4.6953526,-3.7416553,-4.1614323
43,-0.99088395,2.3722978,-0.9287848,-1.004311,-0.8258095,-3.39809,-5.26232
44,-0.7907442,-0.7542026,-5.3121104,-4.4820175,2.7299342,-1.1361208,-4.678011
45,-0.9241091,2.2051082,-6.3326206,-4.685023,-3.801406,-4.3114033,-4.3604875
46,-1.1919903,2.2315595,-0.8916936,-3.820395,-0.93808484,-3.035466,-4.1314583
47,-0.11843413,1.9500816,-4.9291377,-1.8822589,-2.439417,-4.5438104,-4.4779735
48,-4.367034,-1.1858412,-5.1166945,-4.397359,2.242403,-3.4921043,-4.8314605
49,-3.8790643,-1.0731808,2.4276512,-3.7953093,-0.08765733,-3.975227,-4.924482
50,-4.927869,1.9791679,-4.792876,-3.8166552,-4.976431,-3.5592823,-4.937676
51,-2.6499603,2.2625813,-2.566918,-4.230744,-5.3872514,-4.2788134,-4.44255
52,-4.353465,-2.6339378,-3.2590144,-3.257893,2.5591776,-4.740232,-5.091225
53,-1.5814724,-3.048498,-2.2351074,2.4670513,-2.459491,-3.0281997,-4.9734406
54,2.5544882,-1.948196,-2.2155197,-1.0930308,-4.410038,-3.8752139,-4.8487883
55,-4.925319,1.8833411,-2.397819,-5.5116777,-0.7402009,-1.8681052,-4.8061643
56,-3.9687603,-4.7138753,-1.9641078,-1.3059648,-4.295003,-3.7365222,2.6187878
57,-0.9693212,-0.5549934,-0.15111494,-0.63896453,2.6248007,-4.9297132,-5.3704214
58,-5.1461477,-2.0726185,-4.055068,-2.4511755,-5.668567,-3.9523127,2.7354023
59,2.7932281,-5.477425,-2.3529882,-2.9073806,-1.3335116,-2.2796578,-4.5621834
60,-1.7236434,2.1249754,-0.8373592,-4.80917,-1.0477524,-4.457058,-4.096984
61,-1.9143562,-1.7083257,-3.089336,-3.2658234,-4.870098,-4.176344,2.511582
62,-5.4576826,-1.0689029,-0.7920786,-4.163538,-4.7701173,-4.531991,2.822369
63,-2.8813033,-3.0895743,-0.5550039,2.681126,-2.971681,-3.2085028,-5.4573383
64,-0.8253976,-1.0917104,2.4036446,-2.7464166,-0.9421047,-5.053456,-3.9048088
65,-2.2156954,-1.3256329,-4.973951,-2.3030186,-3.8417854,-4.674932,2.8365183
66,-1.8226377,-2.5385683,-3.676799,2.5359423,-1.683067,-3.1963258,-4.9207373
67,2.7706244,-0.5252551,-4.868442,-4.3712764,-1.4816095,-4.4737415,-4.9161134
68,-5.569133,2.4196546,-4.369565,-0.27867988,-5.6304398,-4.9268785,-4.8100147
69,-4.411304,-0.44825727,2.7627492,-0.9602263,-0.40540385,-3.9602525,-5.566125
70,-1.2156827,-0.5119069,-0.901172,-6.4525704,2.632464,-4.108138,-4.5949354
71,-3.7490282,-3.1344724,-1.9046118,-3.9315174,-3.3861232,-4.6261153,2.6695263
72,-5.539009,-3.4687874,-1.0988941,-1.7621486,-5.1907206,-4.587921,2.846531
73,-3.256857,-3.0937483,2.6362817,-3.208604,-4.949093,-4.309819,-5.390835
74,2.7775204,-2.994205,-5.3837833,-2.421268,-5.6488056,-4.5758257,-4.6440163
75,-0.08917153,2.5408387,-5.3823643,-2.89003,-3.8104289,-4.4168453,-5.324894
76,-4.1544,-2.6955507,-4.3905573,-3.2073896,-4.8141894,2.7740512,-4.4193106
77,-3.5771635,-1.5859032,2.6543996,-2.7587898,-0.9918394,-2.4315014,-4.7875395
78,-1.6131877,-3.8029757,-1.6682779,-5.2910914,2.4515054,-4.276205,-4.4784327
79,-1.6410792,-4.3974495,-5.232979,2.4917347,-0.3590419,-4.738045,-4.8275385
80,-5.0613866,-0.5168648,2.5553153,-4.5335164,-3.6818967,-4.304018,-5.6240916
81,-1.9117562,-5.730069,-3.7668107,-3.8060308,2.504314,-3.7659378,-4.3330035
82,2.4835618,-1.9947169,-5.1157765,-5.3315105,-1.5724183,-2.5210302,-4.1802797
83,-4.5390754,-4.6391373,-0.8517474,-0.4969465,2.5672846,-4.133454,-4.0678
84,-3.615424,-0.846388,-2.2674477,2.336874,-1.9221787,-4.3364882,-4.498143
85,2.7876937,-0.48700392,-5.013515,-5.821877,-0.7903609,-1.4319334,-5.1171837
86,-4.690126,2.1442688,-3.4960003,-1.3885726,-2.3155525,-4.8875012,-4.554248
87,-4.257224,-2.1377587,-6.0351243,-5.469502,-1.6066715,-5.1811504,2.6484814
88,-4.9297514,-0.68319595,-4.236183,2.497323,-4.715769,-5.33822,-5.2311583
89,-0.54641044,2.1678646,-4.632594,-1.3877976,-1.8397362,-4.2232695,-5.512955
90,-0.33669564,-0.7854507,2.6771028,-4.6775436,-1.9821826,-4.2878814,-4.7870016
91,-4.4067726,-3.4099596,-1.5909395,-1.7872906,-0.64858234,-3.6614263,2.4957738
92,-4.324849,2.1820238,-4.14477,-5.443018,-1.4940009,-4.9394555,-4.8552623
93,-3.8934145,-0.9589627,-3.1097941,2.507639,-5.1906166,-2.601282,-5.171813
94,-4.953451,-4.410473,-4.9772186,-5.5515666,-4.448509,3.1152565,-4.38629
95,-1.5084773,-0.78553545,-2.5531514,2.0666113,-3.9247844,-3.8097174,-5.0315843
96,-2.1851726,-2.9165149,-5.353419,-5.129022,-6.2027383,-4.2005963,2.6949444
97,-4.5644584,-2.1466117,-2.6176605,-3.4799638,-1.6485791,2.8455434,-3.7182324
98,-4.8981886,-1.5180712,-5.2357516,-1.7020195,-0.9224962,2.7170255,-3.9406736
99,-0.9645071,-3.5443318,-6.0234003,-6.4053555,-5.415917,2.6451936,-4.0208826
100,-1.6669024,-1.4259475,-5.898019,-5.105493,-0.7140049,-2.7840059,2.516615
101,-2.8473341,2.188317,-3.866719,-0.5604568,-1.5243183,-3.2590048,-4.652178
102,-1.8027779,-1.6267562,-4.351226,-4.9771285,-5.587691,-3.7967017,2.7217083
103,2.7310727,-2.0926552,-2.2147577,-1.6891738,-1.3036106,-1.9231225,-5.669327
104,-1.0685925,2.0953631,-1.3200369,-1.0663154,-2.5883303,-3.1361518,-5.485724
