,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27me3 private topic 1
Adssl1,0.4928307,0.52780485,-0.22227013,-0.3642987,-0.22378537,-0.32444867,-0.6217869,-1.312906,-0.084858716,-1.8071628,-0.21497321,-0.18365364,-0.32985073,0.08260441,-0.09811707,-0.34504628,-0.27757788,-0.31325644
Ly6h,-3.741426,-0.47847688,0.35606262,0.56257284,-1.399873,0.00940378,-0.18258786,0.69077116,-3.1544306,0.08421455,0.28696388,-1.3782586,-0.39239934,1.1075468,-1.6471843,0.3819623,0.5271582,-0.1875723
Tmem202,-1.9691873,-1.3854033,-0.14815623,-1.2714367,-0.85049826,-2.1551542,-0.50861424,-0.64830345,-1.1959589,-0.81395835,-1.3630308,-2.2267203,-0.47381067,-1.8501257,-3.5911193,-0.61757624,-1.9246044,-1.0100601
Pdzrn4,0.4645092,-0.38063413,-0.45064658,-0.06714028,0.5018194,-0.5971859,-0.58705336,-0.75373644,0.18641207,0.28703558,-0.336657,-0.028623983,-0.74880344,-0.6417823,-0.29705808,-0.4641966,-0.16149828,-0.23862645
Itga5,-0.44493422,0.113859355,-1.1355861,-1.9269313,0.44594848,-0.8079344,-0.53960043,-1.6759361,0.4764002,-0.10557872,-1.1295323,-0.50239795,0.05206132,-2.5905209,0.6158093,-0.9576133,-2.7845461,-0.55999196
Plekhg3,0.22584596,0.18117246,-1.3015159,-0.867329,0.30559874,-0.98086977,-0.053924263,-0.42004445,0.5471726,-0.6903658,-0.49126115,0.23146045,-0.093958065,-0.9048016,0.5595275,-0.9577322,-1.380949,-0.11495899
Muc6,-1.5168047,-0.9456437,-1.0667999,-2.1989741,0.4194771,-1.151579,-0.20786239,-1.6534699,-1.9426069,-1.4552834,-0.99659073,-0.9982819,-0.34085512,-3.3993645,-1.1248752,-0.5778372,-1.3385551,-1.0388908
Yrdc,-1.1949521,0.0074590445,-1.3769821,-0.98338974,-3.6723607,-1.1837974,-1.5646977,-0.685831,-2.7703898,-0.32290387,-1.0166768,-1.7660958,-0.6885387,-0.67938924,-0.40648872,-4.270525,-1.1127794,-1.0807936
A530013C23Rik,0.15987575,-0.31177792,-0.3001396,-0.8196171,0.4868734,-1.2310909,-0.15894923,-0.8571515,0.5189749,-0.5860959,-1.0623676,-0.124831244,0.9109473,-2.1204028,0.8907912,-0.3913659,-0.7487612,-0.21902871
Magef1,-0.36936682,0.18456122,-0.26694876,-2.2199874,-2.3852837,-1.168344,-0.29374018,-1.1799706,-0.35839933,-0.29045874,-0.90694284,0.885967,0.015889034,-0.30919915,-0.3719184,1.0911561,-0.42959997,-0.16432509
Nectin1,-0.18075907,-0.29204524,0.16047826,-0.38027948,0.38895082,-0.17691135,-0.13145897,-0.31307152,-0.5406761,0.17059198,-0.07311281,-0.66978025,-0.25570884,-0.40009648,-0.5506346,-0.15695119,-0.14527874,-0.2016533
P2ry2,-0.06781998,0.15031126,-0.18479875,-0.12935485,-1.3101254,-0.9722195,-0.93243027,0.034994796,0.64076614,-0.13553064,-0.3478049,-0.042309828,-0.7730159,0.3338055,0.09465586,0.06565416,-1.1222196,-0.11446482
Ccdc40,0.07506746,-0.2729869,0.016899645,-1.2833755,0.15479082,-0.34146035,-0.2839082,-1.5067208,-0.46886104,-0.06735322,-0.5328583,-0.5404251,0.20675778,-1.3293881,-0.58706295,-1.1171598,-0.19566508,-0.46892703
Scrt1,-0.15400676,-0.70241696,-0.22272071,0.48460948,-0.7149412,0.5353708,0.28794152,0.5692512,-3.5732274,-0.38086262,0.54422337,0.3013913,-0.23836996,0.14294016,-1.7340984,-0.10752505,0.11417058,-0.03598961
Olig2,0.5441584,-0.022107914,-0.7006575,0.22389592,0.2870238,0.114019826,-0.44311166,0.38007528,0.26544815,-0.32205728,0.23857966,-0.31534764,-0.5347086,0.26267987,0.7925046,-0.2941757,-0.17665176,0.012307556
St8sia2,-0.07181808,0.5153183,-0.08716124,-0.81560826,-1.0703516,-0.8270198,-0.1369671,-1.085135,-0.81633097,-0.14841084,-1.4580262,-0.7607219,-0.8995046,0.57416767,-0.7182549,0.47402632,-0.2055772,-0.46813807
Mettl27,-1.6307797,0.031005442,-0.33985785,-0.75306565,-3.5690303,-2.1934726,-0.29266983,-1.2863579,-1.3900517,-1.1460278,-1.6543639,-1.7280583,0.62772024,-1.5382893,-0.917924,-0.9997799,0.072138906,-0.8309894
