,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27me3 private topic 1
Immp2l,-0.036694854,0.45668447,-1.0587455,-0.8558972,-0.28274903,-0.9279487,-0.556594,-1.243659,-0.5083788,0.28853852,-0.6755264,0.12534472,-0.43032628,-1.3833493,-0.114760846,-0.50270844,0.016156524,-0.36835873
Samd10,-3.836821,-4.1049023,-0.74263847,0.9453422,0.4090289,-0.79888296,-0.063743755,0.49227613,-2.9554017,-0.028456986,-0.07320246,-2.3258028,-1.7051964,1.0908921,-3.5161152,0.065647185,0.12153751,-0.55481505
Cebpa,-0.14347878,-0.68499213,-0.1711797,-0.11061553,0.22775823,-0.31093428,-0.6638993,0.43495265,0.3409066,-0.026238512,0.7766891,-0.051042423,-0.45645976,0.47743815,-0.023653662,-0.08695598,-0.5438642,-0.027714431
Gli2,0.21243492,0.05276002,-0.54282403,-2.5156531,0.15611312,1.3086402,-0.3899269,-2.0696144,0.73716235,-0.2756763,-1.129528,0.8821014,-0.7774693,-3.8258553,0.26363918,-0.38390914,-0.6766938,-0.3569829
Edn2,-0.06363367,0.20700806,0.4119649,-0.2862399,-2.1619637,-0.2675594,-0.46628904,-0.36432722,-0.24359095,-0.039716437,0.067281574,-0.28562135,-0.31974584,-0.12529922,-1.1660814,-0.16649285,-0.15987653,-0.18903741
Sez6l2,-0.711325,-0.9771261,0.06308445,-0.008600235,-2.358392,-0.01848057,-0.2458308,0.21549425,-2.6500788,-0.3243817,-0.26530835,-0.6446577,-0.020604119,0.35866374,-2.125132,0.34453183,-0.18050867,-0.2554025
Zbtb42,-0.51327324,-0.2537002,-0.7530224,0.4065327,0.069985464,-1.0857081,0.07130307,0.2980702,0.3674329,-0.931397,-0.26459455,-0.096215054,0.291366,-0.05011498,0.46711618,-0.56774056,-0.1147407,-0.06989044
S100a10,0.39712715,-1.113919,-1.7416848,-0.71504825,0.48910916,-1.3438978,-1.6340511,-1.1683601,-0.13085887,-0.7323725,-1.6065674,-1.3775922,-1.8379873,-1.2990439,0.69512117,-0.6936274,-0.8656491,-0.7119626
Kdm6b,0.15555716,-0.52691364,-0.57026273,-0.47548953,-3.7060182,-1.4218618,0.2801396,-0.5189765,-0.45546848,-0.9346226,-0.8843517,0.30016327,0.7247075,-1.7595911,-0.055521965,-1.8054719,-0.63453996,-0.39559662
Csrp3,2.0109315,0.8716327,-3.8224292,-4.2011695,0.25561267,-2.3040009,-3.7384124,-4.219147,1.3445663,-3.9011426,-3.720914,-3.9489975,-3.5683281,-4.0304394,1.6894066,-3.1165595,-3.7797782,-3.1461372
Ccbe1,0.044381052,-0.13415803,-0.900423,-0.5446753,0.38572305,-0.38468543,-1.2947907,0.12244591,-0.043374494,0.1641463,0.58339375,0.09250794,-0.6815551,0.55949014,0.20365357,0.11936095,-0.34434444,-0.0996411
Ano1,-0.5603261,0.5444253,0.018452346,-0.7136992,-0.015185297,-0.53123987,-0.23955067,-0.5828923,-0.033255264,-0.05418449,-0.5375382,-0.83751786,-0.24209133,-0.42083168,-0.07903018,0.16075912,-0.07475765,-0.1566444
Spry4,-0.2620085,-0.56009287,-1.3344916,-0.86420906,0.18133157,0.10143013,-0.34917456,-2.2594423,0.59363407,0.44297284,-0.25519723,-0.5772541,-0.40369567,0.9124174,0.37658292,0.25868252,-0.6814673,-0.23861578
Zfhx2,-0.97185165,-1.0661843,0.44566876,-2.1660447,-3.6639338,-1.5695088,-0.12572993,-1.9710584,-0.014623582,-1.1800653,-1.2481089,-1.9774984,0.2644006,0.83742976,-0.70870304,0.6822581,-0.2213566,-0.8235985
Cipc,0.4255405,-0.6531254,-0.13365394,-1.6147511,0.5154016,-1.0135515,-0.43303764,-0.8268815,-0.572389,-1.207897,0.45545667,-0.25864506,0.13441235,-1.6943188,-0.0016322136,-0.61578244,-0.54548645,-0.51630336
Mex3d,0.03880793,0.15714914,-0.4578835,-1.7772624,-0.08686745,-0.49178645,-0.21484382,-0.3759908,-0.5609235,-0.38033918,-1.3914517,-0.21288495,-0.14746249,-1.9492611,-0.8054521,-1.0522382,-0.44453117,-0.40754968
Sall1,-2.2909453,-0.57980925,-1.1882066,0.23208436,-0.071013875,-0.029744793,-0.57953,0.589053,0.005074993,-0.33111903,0.6336631,-1.0719153,-0.6815939,0.919934,-0.36160925,0.18490134,-0.048476283,-0.015027441
Lsamp,-0.42540085,0.37833244,-0.6298241,-0.41032022,0.3740266,-0.6254457,-0.85436594,-0.39085856,-0.08979461,0.6834424,-0.05802314,0.042588234,-0.7300627,-1.845202,-0.70268327,0.2854962,0.25080702,-0.15505454
Flt1,-0.08268167,-0.24610828,-0.9805307,0.21544781,-0.26886684,0.019226767,-0.56284195,0.10930283,-0.0054139793,0.059990257,-0.23705867,-0.09759772,-0.97216046,0.3517099,0.22432575,-0.17374471,-0.19791889,-0.03660123
Fhdc1,-0.9677235,-0.6660366,0.49493402,-0.24461766,-0.3447228,-0.42225775,0.11310557,0.18237999,-1.2417122,-0.1961419,-0.27640387,-0.63618475,-0.19939446,-0.021841347,-0.5821447,0.105517685,0.59677655,-0.17097163
Arl4c,0.46119237,0.7241334,-0.69678164,-1.2504948,-3.407327,-1.0303756,0.23241755,-0.9697971,-0.7032167,0.4394288,-0.9109754,0.040135235,-0.2684524,-0.5690486,-0.74929684,-0.46755284,-0.5992473,-0.33555838
Dbh,-1.2439764,-0.35439086,0.17405742,-1.3268971,-0.28836402,-0.47398156,-1.2940556,-1.1754122,-0.99949026,-0.297139,-0.1660673,-1.1756897,-0.5868777,-3.5209737,-0.27164394,-0.46011478,0.5321897,-1.4393405
Dact3,0.46848607,-0.30334273,-1.1633545,-2.5383744,0.9579408,-0.85493857,0.3485491,-2.459092,0.49564773,-1.0812469,-3.0154586,-0.7555624,0.6118478,-3.3985484,0.44931775,-0.22965118,-0.84069943,-0.43558785
Trib1,-0.5875855,0.2265271,-0.8344878,-1.9047964,0.3191564,-0.9319851,0.33836654,-1.5714396,-0.9230442,-0.78252757,-0.36487848,-0.28745046,-0.3021257,-1.9701627,-1.4336193,-0.20133238,0.019468248,-0.4996695
Gm5148,0.09084055,-0.31214607,0.41870117,-1.898242,0.7780613,-0.19815911,-0.061849684,-1.8440566,-0.08961497,-0.38837045,0.35677075,-0.9321235,-0.28592739,-0.16142799,0.53034395,-0.43191415,-0.5496303,-0.56407535
Dbx1,0.92929417,0.31019023,-0.90695477,0.10810089,0.36831146,-0.16110091,-0.9881269,0.031700175,0.42109814,-0.32840103,-0.13820134,0.29001105,-0.82821876,-0.10660184,1.2402205,-0.3465899,-0.6330072,0.030224968
Apcdd1,-0.9979912,-1.5680355,-0.05190134,-0.6496397,-3.6142025,-0.56138813,-0.39469004,0.70105517,-0.6565103,-0.7016798,-1.0183173,0.20791435,-0.9078783,0.27993536,-2.088347,-1.6755984,-0.49028817,-0.43834093
Gm5083,-0.014968514,-0.62835157,-1.3153785,-0.89709085,-0.005959481,-0.38210186,-0.8990836,-2.8104925,-0.056713253,0.008866817,0.30828112,-0.63381577,0.28451276,-0.070378095,-0.47182125,0.6794328,-0.2505249,-0.41824234
Inppl1,-0.20019588,-0.1643958,-1.6295232,-0.18763736,-0.3164675,-0.9699656,0.057495132,-0.3753494,0.81054026,-0.94759136,-0.7964634,-0.046234235,-0.2742505,-1.0879048,0.8632412,-0.5302511,-0.82570237,-0.19123012
Iqsec3,-0.85336703,-1.273782,0.24706236,0.091915995,-0.2631236,0.22185943,-0.5907354,0.1896199,-0.7603626,0.17711318,0.13783619,-0.5488545,-0.5225291,0.18035969,-1.0682546,0.11499056,0.17748529,-0.109842554
Metrnl,-0.1434764,-0.7107988,-0.16771248,-1.3392951,-0.9896222,-0.93449444,0.30025744,-1.7096657,0.22366402,-0.17065373,-0.8595438,0.0009548962,-0.1700711,-2.962146,0.7446357,-1.4382478,-0.60011995,-0.47752547
Dok7,-1.3892511,-0.1726008,-0.0071335435,0.18508255,-1.7392769,-0.4357686,0.049421467,-0.12611769,-0.77445656,-0.8281993,-0.52089775,-0.77734715,-0.4106151,-0.5941677,-1.1241105,-0.63429046,0.22349209,-0.23357804
1810062G17Rik,-0.7590937,-0.6693077,-4.112419,-1.2796047,-3.5460806,-1.3333188,-1.8189809,-2.86798,0.37629604,-0.6019424,-0.85975724,-1.26679,-0.6037757,-0.77512836,-1.6707232,-1.8423839,-0.9822106,-1.0172707
Rgs7,-0.92379844,-0.33520892,-0.67949164,-0.36037454,-1.878777,-0.105365306,-0.97520053,-0.73518455,-1.4014404,0.68018115,-0.33075884,0.044009656,-0.89712876,-0.65633476,-0.8776539,-0.01488772,0.14547086,-0.3565268
Ifnar2,1.0995747,0.51946074,-1.0171905,-0.28365678,0.6081486,-0.87228256,-1.1403823,-0.35623604,0.721773,-0.6073242,-1.2618284,-0.506799,-0.6566618,-0.89966595,0.9561459,-0.7788026,-0.80293286,-0.2142049
Ccdc121,-1.5015355,-0.5741105,-0.24824499,-1.7535743,1.243786,-1.4179921,-0.83484507,-1.8812953,-0.79423714,-0.20533162,-0.5257968,-0.62321407,-0.27057678,0.59945047,-2.1784284,-0.30994374,-0.09380928,-0.46349573
Pcgf2,-0.22829542,-2.1645513,-0.9979388,-1.479472,-3.8233657,-1.5020617,0.9154507,-0.9136292,-1.5738573,0.3232559,-1.525417,-0.32814482,0.18642348,-2.3427107,-1.1201394,-3.604463,-0.6947793,-0.9629981
Mt4,-0.066761196,-3.9395845,0.09725165,-0.8831857,-3.6578782,-1.0766171,0.041921176,-2.751435,-2.6193218,0.0071035624,-0.52862126,-3.113363,0.6173382,-0.5909738,-0.47335753,-0.03878522,0.29912233,-1.0026274
Adap2,-0.29665506,-1.7172577,-0.6969389,0.26321077,-0.3233293,-0.18605796,-0.7795894,0.23885965,0.13292348,-0.6254338,-0.33266744,-0.5180915,0.1679216,0.26330757,-0.5008112,-0.29411906,-0.55156964,-0.22646722
Vti1a,0.7471876,0.59820426,-1.5733662,-1.1725128,0.17462334,-0.2731001,-2.1271346,-2.2952576,0.7731768,-0.470917,-0.07694265,0.05857569,-0.8685017,0.38969165,0.6617126,0.17484525,-0.19671184,-0.18939832
Gm11538,0.40748957,-0.2110349,-0.5551815,0.26346877,0.55120313,0.17029059,-0.6362629,0.410742,-0.19422722,-0.3100925,0.30616373,0.09831562,-0.7188379,0.1745255,0.44325665,-0.22340591,-0.2654846,0.09454219
4933439K11Rik,-3.7420182,-0.022440076,-0.31645054,-0.5516385,-0.5657733,-0.6209019,-0.49426886,-1.5856508,-1.4995275,-1.7466278,0.3081721,-1.2254874,-2.4478421,1.0695606,-1.1842301,0.360393,0.15797651,-0.77631944
Kif18b,-1.6750531,0.6059674,-0.87671614,-1.3061115,0.37311882,-1.4062394,-0.73981667,-1.6993996,-0.6476522,-1.9450877,-0.54822963,-1.537134,-0.042325556,-0.42118979,-1.9897906,0.26183414,-0.6226503,-0.60136604
Gm5868,-0.8784621,-0.7245525,-0.4066079,-0.22424898,-0.8367416,0.27737403,-0.39486617,0.18309262,-0.48442453,0.43583173,0.18521452,-0.83122754,-0.5934533,0.731956,-0.37988085,-0.012764692,-0.20774199,-0.14683025
Gli1,-0.9682294,0.33608058,0.049722835,-0.76473457,-0.11802279,-0.6797192,0.14795038,-0.8588136,0.55171543,-1.4149609,-2.1210659,0.07217623,0.10099068,-1.4127731,0.9201584,-1.5901805,-0.014430076,-0.20440088
Meis3,-3.221891,-0.70097566,0.08728182,-1.0040672,-1.487632,-1.0464047,0.50134856,-1.0087984,-1.1018943,-0.15849274,-1.1138632,-0.6623648,0.65581405,-2.863921,-2.3301427,-0.11741018,-0.75759387,-0.7609184
Slc43a2,-1.0457681,-0.3785566,0.61674154,-1.5453365,-0.0006477237,-0.9841302,-0.5180261,-1.3074263,-1.3421268,-0.61711866,-2.550959,-1.2266297,0.049460173,-1.5898163,-1.2701211,0.3543871,-0.04501158,-0.76268494
Madcam1,-0.820623,-2.559185,0.25677097,-1.5038981,-0.34479955,-0.07565397,-1.0109972,-1.8840122,-0.884439,-3.1150641,-1.3378507,-1.2861803,0.33599627,-0.7388411,-1.2981355,-0.20613664,-0.43278462,-0.87895685
Emp2,-0.75539184,0.28281385,0.07593551,-1.7283366,0.3158822,-1.1455274,-0.8971978,-1.4730016,-0.067553535,-2.5292685,0.1307354,-0.6132033,-0.48287323,-0.79009223,-0.3379047,0.7677343,-0.41014394,-0.3921401
Ercc1,-0.44276708,0.012851477,-2.2351077,-0.8941552,-1.774162,-0.8475693,0.5771185,-0.3434009,-0.35961965,-0.53655434,-0.5781014,-0.533615,0.5629316,0.1937947,-0.049176753,-0.4028877,-0.31811708,-0.3154965
Ralgps1,-0.3135303,-0.10447872,-0.12675937,-0.32736158,-2.992931,-0.71857846,-0.8194998,-0.07470755,-0.7705499,0.31144387,-0.28802353,-0.5166123,-0.055972517,0.123657525,0.087548435,-0.30001855,-0.051438764,-0.2971692
Wnt5a,-0.42135665,-0.7505207,-1.155289,-2.3076153,0.31204453,-0.27086216,0.10895983,-0.1724482,0.52575755,-0.31539845,-0.8196171,0.19836178,-0.5271216,-2.4140368,0.62963474,-0.2534257,-0.68215716,-0.022917878
Kcnk3,-0.56066865,-0.5394721,-1.1786178,0.18538249,-1.1165011,-0.30538166,-0.26688656,-0.28886417,-0.3271573,-0.04587616,-1.2015879,-0.041900568,-0.6441153,0.0019754022,-0.112490445,0.0008755475,-0.3518448,-0.059784118
Npr3,0.20539525,-0.46096966,-2.1485715,0.19871429,0.054487005,-0.45762512,-1.2399576,-0.64256454,0.6330006,-0.7053733,-1.3818642,0.49021113,-1.1424984,0.6775378,0.78743196,-0.051732272,-0.7956883,-0.04058235
Osbpl5,-0.08520985,-0.918978,-0.15701297,-1.1221026,0.5153023,-1.1833692,-0.32398707,-1.4008784,-0.6655127,0.37022758,-1.7090119,-0.6548238,-0.16409004,-2.2741668,-1.0094292,-0.7519635,-0.59187,-0.8045571
Dio3,-0.09513871,-0.33389878,-0.20857629,0.2938024,0.2684329,0.25670955,-0.83332473,0.14812177,-0.0033280998,-0.13574281,0.41170788,-0.03794071,-0.5797074,0.39270446,0.35962957,0.27729374,-0.13520831,-0.010941062
Krt19,-0.31215343,0.28302604,-1.226436,0.2864477,-0.10791305,-0.7501965,-1.3760026,0.11087605,0.31473392,-1.088059,0.1756993,-1.0270796,-0.31383684,0.23493615,-0.17840531,-0.5007462,0.07442266,-0.18844515
Gm2061,-1.0654377,-1.8521793,-0.4531298,0.4806748,0.38740337,0.1081914,-0.35082576,-0.23761642,-0.7058897,0.02426909,0.018981561,-0.80329525,-0.69846,0.092413425,-1.2117655,-1.6375328,-0.20709918,-0.21435171
B4galt1,-0.839545,0.867978,-0.8881262,-1.8238752,-1.5091422,-1.6692102,-1.2144742,-2.8638277,-1.3798728,-0.4484816,-1.6928313,-0.8265813,0.14412647,-1.7021112,-0.3677229,0.74760664,-0.7675614,-1.0419426
Kcnab2,-0.97318745,-0.8495702,0.5431081,-0.7758485,-0.02879095,-0.49248397,-0.50956076,0.13354856,-0.4783338,0.39925283,0.10260263,-0.40656582,-1.0791973,-0.6577071,-0.3324167,-0.8035469,-0.22426459,-0.39156988
Krt87,-0.8379977,-1.1981238,0.2565152,0.32874256,-0.14933531,-0.26739264,-0.53999186,0.2109339,-0.24948469,-1.368087,0.057905585,-1.4086765,-0.025372922,-3.1874528,-0.8803874,-0.2774341,0.10624188,-0.16487688
Snap23,-3.0296078,-1.2382263,-2.380901,-2.0650806,0.9157541,-2.730222,-1.2282553,-4.022702,-2.9353824,-4.052756,-3.6042356,-2.7093077,-0.85690135,-2.6934838,-4.0713224,-0.9355861,-3.4937718,-1.9982717
Dzip1l,-1.0573813,-1.2596934,-1.5653967,-2.774382,0.37344575,-1.5357976,-1.0823603,-0.46562952,-0.8575602,-0.1043548,-1.4849538,-1.1709322,-1.845045,-1.8504957,-0.83833575,-1.2528914,-1.2374951,-1.1400644
Myo18b,-0.31117952,0.14715308,0.20077196,-1.0067139,-0.14387493,0.12502775,-1.0230329,-1.3734804,-0.52935636,0.14437184,-0.1067943,-0.08357175,-0.4747682,0.08694072,-0.16555803,0.45881593,-0.14420387,-0.18875098
Smtnl2,-0.39680824,0.51932865,-1.6309558,-0.67907286,-3.3865352,-0.8791398,-0.6799729,-1.0143311,0.12355846,-0.49074686,-0.7309445,-0.96354884,-0.17837843,-0.74101543,0.22579807,0.0075351596,-0.9536456,-0.44154522
Agrp,-0.20944546,0.18276078,-1.3036288,-0.9164277,0.37819248,-0.38807976,-0.65838003,-0.5588968,-0.07911551,-0.38101205,-0.96664226,-0.23508656,0.36337864,0.25586754,0.18040037,-0.14404199,-0.88401395,-0.3247962
Nanos2,-1.6313648,-0.24714972,-0.34759715,-0.7526285,-3.867457,-0.2630512,-0.16179231,0.20705968,-2.1342506,-0.6324059,-0.21527073,-1.906542,0.2739501,-0.11917135,-3.4590764,0.17034453,-0.03931001,-0.49971187
Gtsf1l,1.2213628,-0.066972926,-0.28646433,-2.020858,0.27216846,-0.4809661,-0.88313377,-0.9439463,0.09858917,0.21298653,-0.9349335,-0.91684407,-1.0110307,-0.7163565,0.4911878,-0.7444782,-0.052208498,-0.49988157
Kcnq4,-0.777686,-0.14951238,0.08604771,-0.021309331,-0.5861713,-0.08192171,0.33227652,-0.30507624,0.057456635,-0.102604516,-0.086389765,-0.2938916,0.55173945,0.28593266,-0.32213628,-0.15316169,-0.06311456,-0.08846092
Tmem114,-0.9268197,-1.0911757,-0.09718051,0.059751034,-0.28336143,0.20472282,-0.7964664,0.118308485,-0.33157793,0.05275543,0.07375027,-0.7399294,-0.7142936,0.63249105,-0.7766394,-0.29897106,0.05408041,-0.12502025
Atxn7l1,0.12235561,-0.12395763,-0.27911562,-2.849705,-0.28305548,-0.73615146,-0.6300119,-2.0735412,-0.42136937,0.011179715,0.26228303,0.8791386,-0.07073082,-1.2407405,0.34883648,-0.024619937,0.047776908,-0.26570097
Gpr61,-1.3824741,0.417915,-0.31212682,-1.1127739,0.6046257,-1.0510058,-0.65984607,-1.143501,-0.92346114,-1.1924179,-1.7865717,-0.9096811,0.95832956,-1.815322,-1.959306,-1.3162746,-0.57988006,-0.63054174
Wwp2,-0.21599379,-0.16911313,-0.89992166,-1.3360904,-0.10072392,-0.615313,-1.0203627,-0.5532181,-1.2314811,-0.7739053,-0.66562986,-1.5991147,0.030587494,0.11761725,-2.1877933,-0.14573556,-0.74997455,-0.73207164
2010003K11Rik,-1.5793496,0.85875857,-0.048650026,-0.619115,-3.4928293,-0.7221191,-0.71734333,-1.829296,-1.9581028,-1.6984797,-0.7494079,-2.0006478,0.21571004,-1.5607657,-3.6480954,-1.4416218,-1.0678219,-1.3620327
Tmem63a,0.08917844,0.07713151,-1.6540524,-0.29371852,1.0780528,-0.74489313,-0.9702837,-0.24665917,0.9410335,-0.37871188,-1.2362194,-0.17181173,-0.27780694,-0.9219306,0.7875291,-0.24411207,-1.0875496,-0.25964534
Tmcc3,-0.31403512,0.078132465,-1.5638942,0.29668066,-1.1342108,-0.4624784,-0.06168428,-0.36183465,-0.3363523,-0.33168876,0.039287493,-0.53246677,-0.63792247,0.029364869,-0.22448793,0.64821714,-0.4629067,-0.15195614
Hotairm2,-3.2058837,-0.69064254,-0.040060498,1.1462343,-0.9973598,-0.7044365,-0.5678797,1.1849548,-0.8305007,-0.6809307,-1.3035436,1.1959332,-1.8946846,-0.3437833,-1.5549393,-0.67261004,-0.48090217,0.58048403
Cbln2,-0.24373063,-0.6391484,-0.68466103,0.2570085,0.4261688,0.2666863,-0.6730433,0.1416097,-0.6219179,0.09415604,0.09868431,-0.027249679,-1.1312135,0.28179783,-0.4816226,-0.844367,-0.0068302676,-0.114351764
Gm45923,-1.5499876,-0.72066283,0.2135722,0.1268309,-0.15951225,0.16044897,-0.7375368,0.6473505,-0.29409912,0.43783975,-0.052046537,-0.7212798,-0.77302504,-0.2132088,-0.6786674,-0.515427,-0.16167447,-0.20419303
S1pr1,-1.666339,0.34343994,-0.15330525,-1.3280085,-0.3064071,-1.2029731,-0.95524997,-2.1006908,0.7695041,-1.0102067,-1.4815046,-0.72680163,0.050838828,0.0644775,0.2912503,0.1060195,-0.7820202,-0.51319873
Pax9,0.66451967,-0.017374525,-0.49971873,0.23762324,0.07214529,-0.33892474,-0.045904644,0.51319677,0.11665648,-0.20689878,0.24586838,0.60927504,-0.7113096,-4.6335645,0.6722801,-1.0161428,0.041715927,-0.001217002
Slc25a21,-0.11818406,0.3323971,-1.2765521,0.45771897,-0.7287941,-0.45657912,-1.2914191,-0.38268173,0.004322082,0.4641695,-0.33288273,-0.2202546,-0.29109955,-0.44891828,0.8233876,0.24236768,0.14103174,-0.13625315
Slc2a4,-0.7344521,0.06891775,-0.95374846,-0.6535104,-0.56975144,-1.3471278,0.32813925,-0.894372,0.56502426,-0.59369016,-0.82599974,-1.2577337,0.09004688,-1.1533799,0.4340374,-0.7341262,-0.8853798,-0.32933056
BC039966,-0.12444965,-0.20151399,0.20780793,-1.208317,-0.96963775,0.22230357,-0.68562424,-1.0831302,-0.35878885,0.3966806,-0.16544281,-0.26364344,0.15404153,-0.55174875,-0.60865104,-0.07303673,-0.28681174,-0.26556236
Nckap5,-0.9169671,0.2304801,-0.43050152,-0.37873843,0.38718992,-0.40114668,-0.7361878,-0.56422246,-0.047070935,0.4913854,0.27186778,0.09872086,-0.5070381,-0.4940988,-0.5462641,0.32456684,-0.027207524,-0.15047243
Snai3,-0.36972266,-1.176149,-0.81825155,-0.021857508,-0.025613569,-0.10457823,-0.60080105,0.0031489953,0.15509947,-0.6537172,0.58159935,-0.580897,0.13597116,0.9322753,0.3307822,0.31379256,-0.25412512,-0.20069107
Mgmt,-0.20612243,0.42336583,-0.046531677,-0.6694894,-0.77105504,0.1994001,-0.86905044,-1.2453889,0.21710141,0.29399016,0.24613574,-0.23001081,-0.51990724,-0.66502774,-0.6329739,0.07112196,0.057439387,-0.36765763
Nprl3,-0.21486446,-0.7063088,-1.0168964,-1.532107,-3.4984622,-1.4983399,0.43029097,-0.28735608,-0.85527426,-0.7756247,-0.94000745,-1.6671494,-0.41677856,-1.3201253,-0.5578473,-1.8802183,-1.6355033,-0.88928837
Kcnq2,-1.3466356,-2.4053624,0.49625266,0.3494562,-0.6018244,0.16543186,-0.18004614,0.2925264,-1.7773681,0.11838916,0.07090151,-0.43549693,-0.5362719,0.15250331,-1.8603103,0.19144663,0.15390733,-0.13251896
Pcdhac2,-0.40391973,-2.3989007,0.15089676,-1.2475291,0.0026751459,-0.1311316,-0.49995023,-0.029813737,-2.6373587,0.22578657,-0.05944988,-0.4978401,-0.34985307,0.2948107,-1.9190137,-0.3020203,-0.49822056,-0.35354668
Rflnb,0.024417222,0.32043225,-0.6869157,-1.2688329,-1.3443506,-1.1364973,0.055299453,-1.6028166,0.19720164,-0.58408475,-1.40476,-0.58970773,-0.18694586,-3.6315014,-0.2079576,-0.29845405,-1.4345146,-0.6087209
Fbxw4,0.6729611,0.009205937,-0.45985666,-0.5805557,0.8546473,-1.3452022,-0.8796247,-1.2365198,0.3755772,-0.2436555,-1.132737,0.333008,-0.8288604,-2.6084507,0.41506666,-0.89615583,-0.76062924,-0.19418411
Irx6,-0.32631963,-0.1541597,-0.59718966,0.6134216,-0.041378744,-0.093158424,-0.82270336,0.37879696,0.14868167,-0.5177206,0.30154228,0.22224492,-0.9204568,0.4051236,0.27111542,-0.8011715,-0.040762115,0.023342747
Tpcn2,0.5342076,0.09570545,-0.62825733,-0.5512812,-0.82753026,-0.3882986,-0.55902064,-1.0758204,0.2963773,-0.34952614,-0.39490426,-0.36230737,-0.46688333,-0.34229627,-0.22494441,-0.55726904,-0.21873316,-0.3733426
Camk2a,0.71027505,0.93411386,-0.73365283,-1.2057762,-0.9352081,-0.7260908,-0.738196,-1.6875995,-0.03515614,-0.23730026,-1.0476164,-0.55727935,-0.8596605,-1.1364752,0.280909,-0.12666473,0.019466013,-0.3838745
Cpm,0.83110666,0.23255551,-0.3736862,-0.32490018,-1.4807919,-0.6766312,-0.76210487,-0.63138807,0.54135513,0.03135389,-0.4879101,0.2128891,-0.80019265,-0.17967081,0.32826614,-0.5176083,0.028852493,-0.2719741
Six4,0.8028708,0.05263634,-0.5486125,-1.6403822,0.11772463,-0.5782745,0.6539059,-3.0706632,0.29918873,-0.55533653,-0.79468805,0.05023372,0.510767,-4.063035,0.6453511,-1.0909284,-0.38644573,-0.5069457
Zmynd10,1.0859798,0.39712614,-0.5439515,-3.238671,0.6770104,-1.1672754,-1.063561,-1.4243978,1.0718588,-0.32390797,-1.6644211,0.14580795,-1.2068825,-3.1588988,1.217872,-1.5561367,-3.6433449,-0.48407477
Tac2,-1.0401943,0.0029367208,0.2318449,0.009100646,-3.8886495,-0.86557966,-0.07689387,-0.7216191,-1.0117966,-0.2946636,-1.9338323,0.32899433,-0.31555036,-0.7986903,-0.8102764,-0.43240565,-0.46831632,-0.2075809
Mc1r,-2.970541,-4.0156565,-0.088557534,-0.39625233,-0.91035664,0.6597909,-0.27899337,0.29269782,-3.0520024,0.055750653,0.5499458,-0.7284388,-0.30167124,0.9191531,-1.1605146,0.29405394,-0.3004539,-0.12337363
Rasgrp2,-0.7022545,-3.2026556,-1.0823497,-0.020205066,0.26178378,0.48235744,-0.3149369,-0.110059895,-0.54009694,0.12103516,-0.26335296,-0.5284103,-0.16386285,1.049444,-1.3593268,-0.08693443,-0.14090365,-0.23153993
Syngr2,0.13390028,0.6313423,-4.226206,-4.10355,0.14508444,-3.069036,-1.0398573,-3.6362586,1.1780493,-3.616697,-3.1083539,-0.37538156,-1.1365833,-3.6532924,-0.5810175,-0.5986535,-3.7885742,-2.0292413
Alx4,0.24793595,0.21585894,-0.272882,-1.7251142,-0.02445228,0.21792534,-0.33375627,-0.9620064,0.18135838,-0.24504668,0.38607377,0.3043189,-0.2514367,0.6319825,0.6186263,0.15958594,-0.13956568,-0.12658231
Htra1,0.062620595,-0.50502527,-1.2489744,-0.023411036,0.14907652,-0.1264018,-0.78645635,-0.070418425,0.13866523,-0.5385781,0.37842524,0.17148378,-0.9494833,-0.20973918,0.32609227,-0.37764454,-1.4555769,-0.04351082
Hey2,-1.0854123,-0.570042,-1.6058035,-0.8657354,-2.21769,-0.05190091,-0.123603076,0.035510734,0.049551018,-1.0558882,-0.5381162,-0.34470844,-0.20056587,0.40922666,0.22374934,-0.15242527,-0.96739256,-0.10520016
Map4k5,-2.1261218,-0.08923817,-1.5086927,-2.3219109,0.44536614,-1.399991,-0.79011714,-2.1791224,-2.016765,-0.40582776,-0.83344126,-0.8573326,-0.5959474,-2.36868,-3.1353707,-3.4365664,-1.8950078,-1.2691438
Ntrk2,-1.1608293,-0.6095132,-0.008933619,-0.32359076,0.13141558,-0.15255345,-0.6241282,-0.08939722,-0.90529144,0.31153703,0.2503301,1.0826466,-1.2754112,-0.4407705,-1.301149,-0.12952515,0.1853168,-0.21412936
Sox2,-2.1067493,-0.45511526,-0.4795572,0.5579087,-0.516338,-0.2679339,-0.39651042,0.5553969,0.11799708,0.09419555,0.46626928,-2.0025263,-0.39606842,0.60154223,0.6208445,-0.005645917,0.09524236,-0.0040047877
Scfd2,0.12883437,0.25663406,-0.23404527,-1.1482532,0.5776876,-0.39095786,-1.0196477,-0.7814762,-0.22131962,0.37741292,0.060094565,-0.10366334,-0.68094695,-1.0059302,0.38791335,-0.5030879,-0.013785839,-0.30563873
