,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27ac private topic 2,H3K27ac private topic 5
Fhdc1,-1.4942837,-0.88279444,-0.7193188,-0.5676625,-0.80618244,-0.27215093,1.288533,-0.80824184,-1.2069099,-0.24275704,-0.33911794,-0.7070632,-0.30253497,-1.7757136,-1.5455707,-0.39376497,-0.94718105,-1.4873335,-2.2453902
Arl4c,0.07150112,0.0041493326,-0.43354714,-1.1854023,1.1916461,0.6076999,-1.5963218,-1.6888547,0.8836288,0.0041880757,-1.1776072,-0.15764338,-0.70470834,-1.5434428,0.92728436,-2.098044,-0.9032153,-0.26391274,0.92939734
Dbh,-3.6644378,-3.89654,0.5087532,-3.0394626,0.5729246,-0.69768304,-2.5024574,-0.2912032,-0.06899409,-0.70185053,-0.44994566,-1.3261011,-0.97769076,0.17956024,-2.141852,-2.1923895,0.17304856,-2.0441422,-1.503548
Dact3,-1.4023069,-4.773867,0.41951358,0.21068889,0.6539746,-0.113498695,-1.217771,0.25455144,-1.0289242,0.17047548,0.21045661,-0.81565106,-0.35712802,0.4473952,-1.0132554,0.4929843,-0.4629441,-1.5608908,-1.1445822
Trib1,-1.5539165,-0.24747846,-0.06906837,-0.33067924,0.53999025,-0.008814469,-1.0746751,0.25810346,-0.22025934,-2.0324821,-0.37870577,-0.124498226,-1.4433647,0.127563,-0.7578258,0.062838614,-0.0875777,-0.13050649,0.18930918
Gm5148,-0.7870877,0.88313377,-0.19282141,0.04500264,-2.2567647,-0.07197873,-0.6810891,0.26731062,-1.55914,-0.6589693,-0.070181,0.2017236,-0.6183882,-1.4398607,-1.3149726,-0.61562437,0.13510266,-0.961336,-2.237256
Dbx1,0.24913427,-0.60948193,-0.0284746,0.0024455339,-1.0672693,-0.0043596774,-1.1705678,-0.21927032,-0.157102,-0.16140191,-0.47651237,0.13373011,-0.26503077,0.03446275,0.39230657,-0.5414822,-0.18816084,-0.31067234,0.039223105
Apcdd1,0.7396697,0.5285597,-1.7980733,0.8590989,-1.6127821,-0.1929189,-2.465663,-0.78734696,-0.34125492,-0.09802994,-1.1126351,-1.8996252,-0.6549651,-1.1226566,-0.38445008,0.30447185,-0.7437023,-0.2697807,-1.8660471
Gm5083,-2.3222995,-0.57859033,0.13355213,-0.32748455,-0.012835681,-1.007725,-2.227105,-0.4370915,-0.82590395,-0.2595724,-0.4415301,-0.37795487,-0.16387342,-0.5851513,-0.46000397,-0.9631411,0.25653344,-0.19975874,-1.346369
Inppl1,0.07366207,0.047446728,-0.2522557,-0.31101045,-4.6600227,0.17548153,-1.2208853,0.15844738,-1.4401062,-0.7558069,0.36181092,0.30671668,-0.3015444,0.47491837,-0.7783097,-0.10857071,-0.76933616,0.0110516995,-0.28088355
Iqsec3,-0.9774019,0.22340643,-1.2105161,-1.1578366,1.1048912,-0.93656564,-2.62157,-0.69066375,0.3160478,-0.57775867,-0.7697482,-1.100004,-2.1582139,-0.6967314,0.59178793,0.09905696,-0.36283416,-0.4458679,0.49364316
Metrnl,0.20270574,-3.6832051,-1.4190369,-0.20637281,-4.2172594,0.62480664,-0.54927135,-1.0553246,-0.76317716,-0.53724086,-0.85639775,-0.7369021,-0.1652397,-0.08507156,-1.2047398,0.4097067,-0.45515195,0.60194945,-0.8643747
Dok7,-1.8712002,0.56582856,-0.055809677,-1.6234405,1.2560436,-0.6408734,-0.79324675,-0.35326377,-0.75382173,-0.4213904,-1.2142062,-0.9164096,-0.10894078,-1.5117939,-0.76723814,-1.2006483,-1.2696981,0.7538867,-0.124093205
1810062G17Rik,-4.50122,-4.266576,0.5781633,-0.45291674,1.2325326,-0.43030632,-0.8819784,-0.3103911,-2.9386818,0.39123058,0.22216338,-0.16892023,-0.0705356,0.89820457,-1.506293,0.44871134,0.24653614,-3.1899872,-2.908169
Rgs7,-0.30980515,0.42766285,-0.53672075,-0.5293159,-0.2024084,-1.735958,-0.74416244,-1.7104889,0.078102514,-0.2868298,-0.7544765,-0.55885786,-0.43042958,-0.7435081,0.5431527,-1.3860277,-0.54571205,0.61097944,-1.6678376
Ifnar2,0.32591236,-0.09307781,-0.5793124,-0.46856177,0.012329996,-0.6853695,0.79874194,-0.9009701,-0.7549032,0.17211956,-0.9470811,-0.55986506,-0.22989944,-1.5068277,-0.20610806,-0.19645214,-0.26962543,0.3263201,-0.81611395
Ccdc121,-1.4777141,-0.38273832,-0.54050314,-0.26940143,0.5962689,-0.33865458,-1.1063943,-1.1014794,-1.6692303,0.037445247,-0.2250227,-0.94159406,-0.3238249,0.61595297,-2.3879104,-0.84449744,-0.5293312,-0.71053123,-0.9446573
Pcgf2,0.7437324,0.4502926,-0.48981798,-0.69319916,-1.5451429,0.04245004,-1.0210279,-0.08261971,0.09452396,-0.59948504,0.026600689,-0.039434977,-0.5617063,-0.6331929,0.39851314,-0.22155382,-0.19654767,-0.16065112,0.8423577
Mt4,0.66707885,0.5099399,-0.43993542,-1.3949323,-0.18260276,-1.7348604,0.3710166,-1.5783966,-1.0718708,-0.8927028,-1.5612891,0.3563925,-4.495532,-2.0899425,-1.0734413,-4.6888995,-3.591155,-1.807491,-1.2518133
Adap2,-4.237872,0.71268404,-0.29370674,-2.17932,-4.1143246,-1.2031562,-0.87527,-3.4397054,-0.7945163,-0.17639363,-0.73434067,-0.9662428,0.4363469,-0.80703473,-3.5102007,-0.5251262,-0.52316153,-0.7732111,-1.008688
Vti1a,-0.4669517,-0.51478004,-0.53442544,0.012276709,-0.60748565,-0.03923388,-0.30212116,0.47158647,-0.626559,-0.14577799,-0.03515114,-0.14085451,-0.7293981,-0.56245005,-0.82111526,-0.62659335,0.05999531,-0.4051693,-0.2737677
Gm11538,-0.56885374,-2.5267737,0.0019489825,-0.30071503,0.32057756,-0.20532793,-0.70525086,-0.08045545,-0.25827348,-2.407359,-0.101284534,-0.36757833,-0.2590434,-0.37485078,-0.8671362,-3.0174353,-0.32320917,1.0329808,-0.10423693
4933439K11Rik,0.2216605,-1.8812065,0.028274298,-0.70359826,-0.14413524,0.0004119873,-1.3872875,-1.3916049,-1.0594598,-3.457675,-0.24726802,-1.2118657,-0.3796065,-1.4936647,-1.7441685,-0.5814481,-3.1891131,-2.3035045,-1.7333212
Kif18b,-0.9945847,-2.1530523,-0.16741723,-0.45676887,-4.1351614,-0.5910467,0.065114915,-1.0824515,-1.3143681,-3.3227997,-0.4781252,-0.25980306,-0.4636743,-0.59662944,-1.3321742,-1.6607062,-0.5289364,-0.2064707,-2.1163607
Gm5868,-1.5789244,0.4747554,-0.82254994,-0.8081488,-3.6632578,-0.38609135,-1.2236452,-4.0793924,-1.5999882,-0.74983233,-0.5774734,-2.2957728,-2.4335713,-0.16118056,-2.24856,-2.8033836,-0.74187666,-0.18141466,0.37988198
Gli1,-1.27053,-0.10030465,-0.47623557,0.16195092,-4.260861,-0.5700722,-0.8840945,0.28702867,-0.78414226,-0.38083178,0.72156227,-0.86495227,-0.29477194,0.31728673,-3.0279021,0.8170501,-0.044166684,-0.8568637,-0.50642043
Meis3,-0.76528317,0.34535038,-0.70059216,-1.8807708,1.0307317,-3.4069073,-1.20606,-2.9469829,0.96156186,-2.570041,-1.0678368,-0.94534415,-0.5388529,-0.9957393,0.83435345,-1.1011739,-1.1895921,-1.7675008,-0.65297663
Slc43a2,0.9896203,0.14473894,-0.9695752,-1.5198629,1.4019375,-0.58787465,-0.4207613,-0.20515329,0.12937805,-0.5524429,-1.1375384,-0.17150724,-0.23957473,-2.430674,0.5550637,-0.7526244,-0.9841743,0.7820195,0.17482492
Madcam1,-0.55111676,-1.0850972,-0.6260005,-0.45912066,-4.2284594,-0.5244936,-0.7755888,-0.6251182,-1.0788441e-05,-0.33280754,-0.50167364,-0.46455705,-2.7522619,-1.3178084,0.42891532,-0.24182439,-0.53855175,-0.7865615,-0.6486359
Emp2,-1.3169581,-2.3291306,-0.42038286,-0.97148705,1.4410739,0.0546754,-1.0223432,-1.0091734,-1.5416042,-3.3714633,-0.90742797,-1.9258076,-2.984858,-1.2946734,-1.9112507,-0.061127067,-2.013366,-1.6593146,-0.9257208
Ercc1,-1.0482323,-0.2675768,0.47208655,-0.51778245,-3.9774878,-0.121457726,-0.81188387,-0.55924785,-0.35545862,-0.13821787,-0.277752,-0.36375144,-0.22011292,-0.56986034,-0.21421398,0.24272877,-0.31586844,-2.9748056,-2.8720696
Ralgps1,-0.7491711,-0.24317002,0.5554493,-0.30705154,-0.3316931,-0.26053262,-0.69355524,-0.0003065616,-0.47019136,-0.040397376,-0.17185928,-0.38423005,0.2800015,0.37730706,-0.37333286,0.068627015,0.34344527,-1.0442137,-0.8744948
Wnt5a,-0.0049673915,-0.36505282,-0.77235603,1.4412264,0.34218013,0.23564953,-2.6342065,0.03962122,-1.1577655,-0.011612341,0.7387081,-0.9018606,-0.5629424,-0.15948951,-0.43211818,-0.25369877,0.43564463,-0.103092626,-1.1322362
Kcnk3,-1.4944221,-1.2502646,1.0852365,-0.9639736,-4.295188,-0.6184596,-0.9380214,-1.3800092,-0.88974106,-0.26162672,-0.0047748685,-1.5906836,0.49690133,-0.97276413,0.18411773,-0.5678181,-0.017554462,-2.0156913,-1.7710942
Npr3,-1.1466331,-0.109811306,0.44773412,-0.7065508,0.308187,-0.546396,-0.93165314,0.22884774,-1.018559,-1.369144,-0.06911957,-1.4767523,-0.72597736,-0.9316753,-0.3713195,-0.19960469,-0.35057458,-2.1134658,-2.7895648
Osbpl5,-0.3308443,-0.5067661,-0.015862852,-0.5231106,-0.5671181,0.3486222,-1.088651,-0.38614652,-0.6256428,0.25354344,-0.3137057,-0.79619575,-0.60194016,-0.571096,0.008308858,-0.4386515,-0.27069196,-1.077006,-1.8009303
Dio3,-0.42837548,-0.34448743,-0.80272114,0.2345294,-0.48343438,-0.21630362,-1.3877826,0.23156089,-0.39416683,-0.020582616,-0.22088723,0.54179645,-1.6731312,-0.043498665,-0.5828349,-1.6898814,-0.035060957,-0.61258537,-0.22277148
Krt19,-2.832204,-4.297576,-0.8373376,0.4459151,-0.047750592,0.78862894,-0.7425519,-1.0875957,-2.549051,-0.7041532,-0.7885779,-1.2835821,-1.3155234,-0.092745125,-1.074579,-1.7315631,-0.07187718,-2.8615336,-2.8010387
Gm2061,-1.436697,-3.7955792,-0.66960835,-2.8920372,0.20251536,-3.6305454,1.5352845,-0.81820726,-4.099666,-0.00061163306,-4.0785713,-1.511825,-0.40870506,-4.4157543,-1.5025694,-3.828143,-0.38369176,-1.150435,-2.6334643
B4galt1,-1.3061126,-1.3925369,0.63357425,-0.5436692,-0.29783776,-0.15296721,0.7674209,-0.31308746,-2.5509171,-0.33730116,0.29752564,-0.8336368,-0.090697676,-0.24915645,-1.6066095,0.26299602,0.103809714,-2.0515113,-2.6694164
Kcnab2,0.32875198,-0.06449497,-1.0524708,-1.1740743,0.8948349,-0.9769901,-1.935864,-0.6346868,0.107240796,0.2519014,-0.5768075,-0.1359235,-0.7982654,-0.66921884,0.43805408,0.1826384,-1.2785566,0.05780348,-0.31815147
Krt87,-1.2046775,-3.410528,-0.7472135,-0.6813274,-3.3650773,-0.5985274,-2.7585492,-0.930405,-0.9281384,-0.74540704,-0.83899945,-1.3762656,-1.2798171,0.8827883,-0.786757,-0.8602371,-0.60579103,-2.9258494,-1.8190478
Snap23,-0.57568717,-4.801458,-0.52515614,-0.36502162,0.5655891,-0.6293019,0.17983997,-0.049692035,-2.3502214,-0.6466504,0.45623362,-0.65780175,-1.6216837,-0.580785,-4.383895,-1.8644007,-0.5043891,-2.292475,-1.8807701
Dzip1l,0.4373117,-0.4469188,-0.87539494,-0.29413784,0.9137081,-1.1061448,-2.2504468,-0.32953757,-1.6875261,-0.60408604,-0.4408017,-0.89275193,-0.49960297,-0.22556622,-0.71582496,-0.3676748,-0.4134942,-0.64509916,-1.8219683
Myo18b,-0.15293565,0.61705035,0.52802527,-0.48483807,0.055446953,-0.83163893,-2.0284605,-0.47044346,0.77171135,-0.24424718,-0.8510524,-0.28019226,-0.76555586,-0.6634457,0.64847714,-1.2535768,-0.46312377,-0.09635556,-0.344157
Smtnl2,-3.1538146,-0.8458029,1.1802232,-0.7935077,-0.26051632,0.67159915,-0.5548812,0.10707405,-2.8154209,0.38917112,0.9417552,-2.1391072,0.12811244,-4.623889,-3.7705967,-1.6572185,0.13225627,-2.0887022,-3.0186896
Agrp,-0.3304908,-1.8480636,0.27235886,-0.40100113,0.24089673,-0.17931433,0.018674556,-0.13032818,-0.29160383,-0.36237186,-0.44051194,-0.5348586,0.101985425,-0.8026636,-0.023903862,-0.48568347,-0.10450766,0.06782916,-0.31415254
Nanos2,-1.6324211,-0.35842276,-1.8993181,-1.1834013,0.21295202,-3.3942823,-1.3027202,-3.123632,-0.48640656,-0.43336874,-1.2269751,-0.7298176,-1.5085871,-1.6328111,-1.1060194,-2.1766143,-0.8798252,-2.128972,-1.8861684
Gtsf1l,-0.51938975,0.10762894,-0.632745,-0.48788327,-3.9859064,-0.5771828,-0.84762377,-1.1452781,-0.31653598,-0.49340913,-0.37390348,0.59525216,-0.20778155,-0.5925769,-0.32703477,0.16636735,-1.3878675,-2.546908,-2.2605882
Kcnq4,-0.6744195,-0.30825484,0.30026853,-0.7757633,0.10473639,-0.49865162,0.05012597,-0.24082789,-1.0694789,0.28748792,-1.5611478,-0.81740093,0.047576457,-0.2632455,-2.0548387,-0.43706298,-0.65442765,0.091974646,-1.6563993
Tmem114,-0.9574349,-3.5829604,-0.526461,-1.0345503,-3.9016309,-1.0260291,-1.462008,-0.6823389,0.16875127,0.11791992,-0.6926905,-2.3372707,-2.2366543,-0.33249533,-0.8255579,-0.015277922,-0.5040286,-1.521297,-0.9246168
Atxn7l1,-0.016775921,-0.38975477,-0.9767866,-0.82948214,0.30383044,-0.8093351,0.86843795,-0.26064616,0.07795568,0.254503,-1.7630349,-0.7941792,-0.3855419,-0.9292778,-0.27834666,-0.41546667,-0.7067137,-0.073167965,-0.7191644
Gpr61,0.040290594,-1.9345316,-0.68483037,-1.6560057,0.6836026,-3.7681665,-1.1879234,-0.14507025,-0.14072004,-1.7244928,-0.96119153,-2.4886875,-0.66302377,-0.3199367,0.9463283,-0.2743132,-0.4818151,-0.52295744,0.07842916
Wwp2,-2.482095,-1.1453388,-1.9619136,-0.52751493,-1.8430138,0.831082,-1.4027482,-0.8434223,-2.6056066,-0.26950398,0.4627204,-0.3862047,-0.11045117,2.0291438,-4.2775197,0.9880606,0.22240502,-1.7180715,-1.3523424
2010003K11Rik,-1.6055787,0.9910047,0.18832117,-0.6083796,-4.0927067,-1.0172737,-0.50717187,-0.27979007,-1.1185014,0.39499032,-3.3005698,-0.8668642,-1.0662739,-0.7919608,-1.965,-1.4391996,-0.58067137,-2.3837066,-2.5648172
Tmem63a,-4.275935,-4.4278126,0.19263142,0.07177794,-1.522199,-0.48382077,0.23041736,-0.048692048,-1.1900194,0.14185375,-0.41319746,-0.6828935,0.35277152,0.75997615,-1.1332692,-0.33822167,-0.69738823,-1.6248786,-2.371397
Tmcc3,-0.051534623,-0.3280808,-0.16460459,-0.45389172,-1.5923159,-0.438465,-0.6028026,-0.09716367,0.10915877,-0.40574595,-0.11827224,-0.2718926,-0.18205604,-0.8391842,-0.1560182,-0.17270415,-0.012874007,-0.17862427,-0.22201213
Hotairm2,1.6619599,-0.17909974,-2.5021422,-2.579127,1.3370323,0.31212938,-1.695015,-1.3436025,-0.55318177,0.100455254,0.1769993,-1.0626913,-0.41246274,-0.2858722,-1.4317113,0.13148382,0.15769777,-0.40730417,0.20244044
Cbln2,-0.8481727,-4.1526656,-2.9981894,-0.9860412,-4.092762,-0.87051535,-2.3679001,-0.19471675,0.5570762,-1.0633035,-1.2451851,-0.017561913,-0.19168371,-0.4220404,0.7964046,-1.4071403,-3.77293,-0.5017071,0.50206494
Gm45923,-1.1044753,-3.1317892,-0.34630093,-0.3823629,-3.7513595,-0.82917947,-1.7066166,1.7790086,-1.3121274,-1.8501334,-1.4495183,-1.1794232,-0.40899926,-1.676094,-3.80522,-1.3977073,-1.5212486,-2.415383,-2.695169
S1pr1,0.3868968,-1.3762755,0.9110924,-0.11353839,-0.7558175,-0.5014657,-0.6884243,-0.7808869,-1.0067122,0.38745618,-0.22828205,-0.68739796,0.25532067,-1.1773304,-0.20696771,-0.103522755,-0.18873133,-1.0407448,-0.40890712
Pax9,-0.67096996,-0.7804307,-0.3357743,0.7627401,-1.2775172,0.21455607,-1.4995363,0.13804099,-0.8286685,-0.1204449,-1.9772295,0.28878886,-0.32342768,1.0754972,0.013272628,0.3785239,-1.0051076,-0.54072094,-2.3805327
Slc25a21,-3.1694472,-3.1976473,-1.6589793,0.70240355,-0.1980644,0.40171623,0.5242399,-0.42848992,-1.5000641,-0.24827443,-0.51579154,-0.18884243,-0.5189217,0.21015513,-0.39806008,-0.20742306,-0.43474334,0.33771092,-2.1968422
Slc2a4,-1.3382581,-0.20081693,-0.56992257,0.7423464,0.573794,-0.29271474,0.75547904,0.111864686,-1.6720643,-0.46309176,-0.07210718,-0.035670877,-0.7152195,-1.314624,-2.095814,-2.602915,-0.40892804,-1.9916513,-2.8906934
BC039966,-0.06554663,0.13652235,-1.3505129,-0.09132177,-1.026444,-0.5728969,-0.8514127,-0.6685985,0.14241517,-3.6823733,-1.6637543,-0.6427153,0.2839759,-1.2172234,1.0293015,-1.6560459,-0.75790876,-1.6493478,-2.0190682
Nckap5,0.95761704,0.029192105,-0.24056649,-0.55397534,0.30261475,-0.21218538,-1.0634549,-0.16927676,0.2938353,-1.0193834,-0.45144907,0.19405067,-0.07861707,0.48447365,-0.07940819,-0.6657884,-0.6179131,0.005332738,-0.047381595
Snai3,-1.5446589,-0.018393159,-0.24243921,-0.40606198,-4.176634,-0.550011,-0.6687359,-1.0484473,-0.72085345,-0.29390505,-0.49242952,-0.9781077,-3.7252462,-0.3959049,-0.9522933,-2.6160715,-0.47026816,-0.33215445,0.030064344
Mgmt,-0.88240105,0.3573587,-0.27140206,0.06373018,0.54066724,-0.2962437,-1.599124,-0.21788135,-0.60951537,-0.51817375,0.6867475,-0.8039612,-1.3185595,-0.45229903,0.4563312,-0.5186441,-0.055839643,-0.19442795,0.5570651
Nprl3,-2.0770154,-0.79710644,-0.8871482,-0.9646273,-0.8068313,-2.0394385,1.437787,-1.1373681,-2.240652,-0.7988448,-2.214807,-1.0361254,1.041875,-1.9552183,-1.7906423,-2.4774082,-1.0639169,-0.56106806,-2.6839528
Kcnq2,-0.27582097,1.0610139,-0.65263987,-1.6216538,-3.866256,-0.941581,-0.051279992,-1.4694407,0.69316417,-3.8710766,-1.3314492,-0.21440655,-0.67571414,-1.9660138,0.521328,-0.14892611,-1.1892387,-0.28627375,0.07134035
Pcdhac2,-0.26638973,0.29340923,-1.7890807,-0.47654498,0.37703907,-3.0977452,-3.171877,-1.0367343,0.4330714,-0.5655129,-3.8450766,-0.35895997,-1.4650211,-3.0348723,0.36603498,-0.4913572,-2.8461807,-0.7038531,0.71011984
Rflnb,-2.2016087,-1.9193285,-1.0756849,0.22039932,-3.8391798,-0.25412643,-0.78720593,0.9565474,-2.9611068,-0.5157101,0.07981491,-0.5012018,-0.87313247,-0.33575344,-1.3510818,-1.1554549,0.35296422,-0.6544268,-0.12550697
Fbxw4,-0.7394304,-0.76579976,-0.50674546,-0.8920485,0.9741219,-0.5083158,-0.37626803,-0.49479738,-0.75699556,-0.4581719,-1.102004,0.23547405,-0.13335738,-0.39536664,-1.0207086,-0.6040998,-0.5419292,-2.9651093,-2.2608652
Irx6,-0.07002869,0.010459185,0.09335071,0.14271155,-1.2748594,-0.2998545,-2.7441792,-0.24915943,-0.37122104,-0.15104282,-0.4484566,-0.38790146,-1.8528464,0.18039045,-0.79217416,0.19578591,-0.21624608,-0.5166905,-0.28336492
Tpcn2,-0.67564154,-1.3730179,0.07856339,-0.0005207509,-1.2999699,0.008900076,-1.2572016,0.15513948,-1.7329139,-0.07374026,0.2102364,0.070313185,-0.67952,0.35645646,-1.1818215,-0.6309416,0.24669954,-0.51055086,-1.5165049
Camk2a,-0.41594696,-0.110037506,0.52519035,-0.32983533,0.5358934,-1.0866866,-1.7071313,-0.26513603,-0.5085623,-0.9632569,-0.2459473,0.15323746,-0.4859091,-0.89504516,-1.9836146,-0.25134823,-0.15706275,-0.13465357,-0.5373487
Cpm,-0.96619767,-0.71982414,-2.3763957,-0.13139743,0.37160867,-0.097356796,-0.9104301,-0.008012503,-0.40076777,-0.86551535,-0.531664,-0.5048093,-0.5328075,0.1365034,-0.40509567,-0.6119431,-0.46864015,-1.8963968,-0.6464964
Six4,-3.225979,-0.021024078,-1.417106,0.46885866,-4.1601562,0.57669306,-0.99279517,0.49496943,-3.7094069,-0.6464561,-0.7380166,0.09727216,-1.4178094,0.70202315,-1.8095554,0.60285276,0.14184451,-0.6447059,-0.115957916
Zmynd10,-0.61447835,0.20678458,-1.2979386,-0.36665,-4.336556,-0.34073764,-0.35463625,-0.8262808,-0.16219313,-0.19641767,0.22519138,-0.24009651,-0.4112535,-0.3320188,0.1412217,0.117430896,-0.21805473,0.30167854,-0.048899963
Tac2,-2.2686534,-4.0807295,-0.31564432,-0.9230949,-3.8809123,-1.4162452,-0.004302129,-1.2771902,-3.5114784,0.33086193,-0.34668973,-0.36204118,-0.2010414,-1.3187158,-0.77388555,-1.2054037,0.12565589,-3.2646616,-3.0808532
Mc1r,-0.046824813,-3.6020358,-0.13534047,-1.1931992,1.2309127,-2.9033499,-2.6778417,-1.002182,1.1071501,0.057206154,-3.7538617,0.49850184,-0.44292718,-1.3514111,1.1686008,-3.8941453,-1.7602209,-1.1597245,0.65536654
Rasgrp2,-1.2319505,-3.3704052,-0.4311807,-0.39182237,-4.062659,-1.3290921,-1.0717376,-0.61945367,0.09601934,-1.8129472,-0.47059986,-0.47903588,-0.37373176,-0.48198038,0.3737163,-0.41330135,-0.26999372,-1.3687172,-1.7695237
Syngr2,-3.798499,0.34365624,0.09626126,-1.2642336,0.6249589,-1.6490539,1.0466692,-0.14318234,-2.7798107,-0.6099676,-0.5439631,-0.07092485,-1.46869,-0.8244059,-4.315938,-4.2177334,-2.9572432,-2.3658967,-2.3068159
Alx4,-1.183876,-0.54208845,-1.0892034,1.666549,0.41030556,-0.8728378,-1.0060222,0.93595874,-1.2456912,-0.40347078,-2.336925,0.5445301,-0.43530935,-0.75805026,-1.4468033,-1.1051073,-0.1225178,-0.49282768,0.11758286
Htra1,-0.7411718,0.018079996,0.2875864,0.122875065,-4.0530834,0.04734242,-1.7697351,-0.65437734,-1.8608065,-1.2335975,-0.015305072,-1.2334754,0.51311326,-0.055826724,-1.8409481,0.23142743,0.8046638,-1.5822438,-0.9470979
Hey2,0.6868864,-1.1133666,0.38785756,0.18041617,0.96803164,-3.6629093,-1.1387213,-1.4624909,-1.5447558,-0.75495255,-1.9907559,-0.18093508,0.7385944,-1.3882163,-2.5973134,-2.8602386,-0.059093505,0.19703966,-0.19133793
Map4k5,-1.222625,-0.10691583,0.052223325,-0.37282768,0.768528,-0.72907007,0.30043814,-0.29386762,-1.1359854,-1.5137275,-0.5732336,-0.9466592,-0.16244239,-0.41765064,-1.7695956,-0.5419112,-0.1297001,-0.12011632,0.062309682
Ntrk2,1.0422237,0.5331979,-1.7255586,-0.81696206,0.8091837,-0.7830565,-3.5203996,-2.6002445,0.7531729,-0.34642094,0.027801305,-0.007724896,-0.73097396,-0.6775098,0.7826567,0.12717757,-0.2944495,-0.33756393,0.55030155
Sox2,1.9172914,0.6063354,-2.6586645,-0.79926217,0.51953286,0.45054048,-2.6306677,-0.5737638,0.204951,-0.6573083,-2.482494,1.3187903,-2.1229718,-0.8867532,0.030536048,-0.1905531,-0.65655077,-0.90112084,0.31336305
Scfd2,-1.4316766,-0.9497106,0.3405767,0.15874416,-0.56092083,-0.19011621,-0.32929415,0.18501142,-1.7420037,-0.16000594,0.5765493,-0.6728203,-0.09012434,0.42601228,-1.4441919,0.095903605,0.35783863,-0.4120679,-1.3859607
Cd40,-0.15495878,-3.2181919,-0.72559285,-0.7421154,1.2664403,-1.4262979,-2.0803778,-1.3953615,-0.42571375,-2.5868583,-0.18406728,-0.8656829,-0.55182517,-1.7695336,-1.0822512,-0.1419,-0.0056511164,-1.3096645,-0.37192377
Wdr7,-1.8661778,0.22160238,-0.43176252,-0.70655733,0.10795045,-1.1672492,0.045136265,-1.4474803,0.4333866,-1.8904841,-1.037247,-0.57148886,-0.8871294,-0.6502229,-0.13675305,-0.479887,-0.76130724,-0.28774828,0.6512445
9330188P03Rik,1.4633505,0.001775682,-0.5948468,-0.68508905,0.50867987,-1.275665,-1.9799795,-1.9784483,-1.0595984,-3.2090588,-0.818293,-1.0378108,-1.3931127,0.32466984,-2.5781236,-1.6777805,-1.3990924,-0.55696934,1.0358187
Col25a1,-0.9933178,-1.4501033,-0.30159044,-0.10286507,-4.2748566,-0.05187373,-1.282434,0.13865429,-0.59114414,-0.3090666,0.3350237,-0.29495955,-0.1569396,0.18602443,-0.25392064,-0.28415436,0.15076184,-1.3881093,-1.7585458
Gm17597,0.31294036,-2.1802502,-0.43074125,-0.15399444,0.99075603,-0.063818865,-0.8479928,-0.11364129,-1.4397595,0.004592836,0.225528,0.043848604,-0.037953384,0.19064009,-0.5596772,0.072127536,-1.3051664,-1.6227713,-0.8120725
Slc1a5,-1.8584205,-4.8162303,-0.28472376,-0.60793865,1.3468297,-0.11601558,1.132743,-1.067204,-1.4628766,-3.9659038,-1.0655826,-0.5279204,-1.2152371,-0.9913613,-1.6987976,-0.8420598,-2.858357,-2.3740861,-3.4653976
Prickle1,-3.9755132,-1.0195458,0.6102497,-0.32222247,-0.403623,-0.5172085,-0.61724156,0.55257154,-1.127593,0.2844729,0.57466763,-0.49767426,-0.25308976,0.35398412,-1.0866444,0.11245066,0.3220312,0.07551718,-1.6117568
Hmox1,-3.0701277,-0.9746201,-0.52271587,-0.5194992,-4.225968,-2.1130137,0.46875602,-0.3889894,-2.4419825,-0.5892341,-0.16155949,-1.6994677,1.356851,-1.5318321,-0.19868898,-0.32007045,-0.38943917,-0.48851657,-0.71373355
0610009L18Rik,0.11458942,-0.49801856,-0.4777016,-0.1429567,0.059467256,-0.4426701,-0.36139536,0.35130244,-0.31873697,-0.17215778,-0.32685703,-0.24797273,-0.25040945,-0.121671766,-0.11291554,-0.2460699,-0.42346138,-0.22721906,-0.13964936
Gpx7,-3.1739154,-3.189083,-1.1473823,-0.060298234,-4.066325,-0.3783919,-0.99978465,0.7583468,-3.1083422,-0.291884,-0.25238287,-0.48824963,-0.30201674,-0.21496992,-1.397539,0.25974518,0.12430698,-0.43822476,0.071487755
Map2k5,-0.36422575,0.4133684,-0.15720487,-0.32364038,0.9142517,-0.31822366,-0.87655705,-0.340548,-0.07896595,-0.3424354,-0.8654055,-0.40765768,-1.2160301,-0.7100083,0.5986046,-0.64761555,-0.7086009,0.5905354,-0.24517038
Slc30a10,-0.9623604,-1.5709167,-0.43420327,-1.3223964,-0.18596324,-3.9531257,1.6195807,-0.83941656,-3.8571415,-0.16779007,-4.534571,-1.1255805,-0.23573442,-4.616498,-1.6180207,-4.34143,-0.59353936,-1.6082734,-2.569231
Tmem104,-0.06114945,-0.6786541,0.10693741,-1.3190999,-4.2861104,-0.22824872,-0.5558955,-1.7972656,0.3110946,0.16371906,-0.32980514,-1.0441588,0.025218278,-0.67923665,-0.5749911,-0.41484526,-1.1313803,-0.4543984,-0.20229898
