Dataset,method,jaccard 1,jaccard 2
ME13_1,MISO,0.132508816,0.325614809
ME13_1,MISO,0.131992121,0.325493024
ME13_1,MISO,0.132097409,0.326553285
ME13_1,MISO,0.13147653,0.320697681
ME13_1,MISO,0.133101016,0.324228815
ME13_1,MISO,0.132164239,0.324261828
ME13_1,MISO,0.131240103,0.324872904
ME13_1,MISO,0.13322083,0.326023045
ME13_1,MISO,0.131874446,0.322683232
ME13_1,MISO,0.132443936,0.322748868
