Dataset,method,jaccard 1,jaccard 2
Mouse_Thymus,MISO,0.078682156,0.198819969
Mouse_Thymus,MISO,0.077264419,0.192009261
Mouse_Thymus,MISO,0.081545776,0.207491446
Mouse_Thymus,MISO,0.077220103,0.190241393
Mouse_Thymus,MISO,0.077732134,0.218138253
Mouse_Thymus,MISO,0.079542348,0.214918881
Mouse_Thymus,MISO,0.078482302,0.185102289
Mouse_Thymus,MISO,0.079973249,0.201124851
Mouse_Thymus,MISO,0.078387712,0.209387872
Mouse_Thymus,MISO,0.079301496,0.209203346
