,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4
Tkt,-1.0466982,0.2892617,-0.65123904,-0.8058926,-0.8257196,-0.0648672
Bap1,-0.7916012,-0.6386389,-0.69859016,-0.6619413,-0.3842047,-0.07094395
Sh3bp5,-1.7498095,0.4045635,-0.7557949,-1.2672598,-1.022207,-0.19217098
Colq,-0.22574937,-1.4800158,0.24397719,-1.6404582,0.3257202,-0.5968446
Parg,-0.44867566,-1.8382664,-0.5010215,-0.5208516,-0.6009321,-1.1450987
Wdfy4,-2.0657158,0.04557687,-0.6803308,-1.3046136,-0.2783167,0.19779885
Ccser2,-0.66390294,-0.069032684,-0.7065652,-0.65937257,-0.6752883,-0.3732321
Tspan14,-0.8586287,0.24671537,-0.6087142,-1.9735599,0.10504092,0.51164865
Tox4,-0.48547855,-0.96595055,-0.57901555,-0.51301545,-0.9802741,-1.0094748
Mrpl52,-0.89378095,-0.25465113,-0.6854905,-0.10258883,-1.6384153,-1.0880408
Psmb11,-0.43305612,-3.3504148,-0.025865108,0.02689518,-1.109268,-1.4635751
Acin1,-0.19777071,-0.24176337,-0.1881299,-0.19573337,-0.18140489,-0.1461626
Psme1,-0.7137167,0.4996333,-0.47306424,-0.08865373,-1.9296637,-1.7380258
Irf9,-2.13441,0.7203851,-1.490203,-1.1432223,-1.0769478,0.7611456
Zdhhc20,-0.34612262,-0.92066264,-0.4667856,-0.44752666,-0.37878215,-0.540559
Ints6,-0.5487411,-1.4195164,-0.60633993,-0.5965209,-0.5779892,-0.8015382
Wdfy2,-0.3809068,-1.1845684,-0.5318581,-0.51422846,-0.6658548,-1.8223113
Mtmr9,-0.740246,-0.6367839,-0.7611682,-0.75524414,-0.74266523,-0.73415726
Ctsb,-0.63799345,0.28402734,-0.6191797,-0.041576978,-0.55218595,0.7816388
Ptk2b,-0.26052856,-0.0580552,-0.3488811,-0.4287105,0.21896398,-0.0555339
Xpo7,-0.41529834,-1.3250673,-0.37176245,-0.42206526,-0.21176358,-0.3442739
Fndc3a,-0.3479342,-1.018621,-0.38991266,-0.6634352,-0.41941786,-1.14799
Lpar6,-0.1031044,-2.2234018,-0.8318821,-0.57423687,-0.7262424,-1.3153851
Rb1,-0.31105393,-1.592546,-0.33071998,-0.39619166,-0.31576526,-1.222455
Lrch1,-0.27143556,-0.631595,-0.231446,-0.38105544,0.13408794,-0.28252172
Lcp1,-0.51007885,0.4608507,-0.88488907,-0.23897575,-0.19632325,0.32641512
Cog3,-0.8049381,-0.7315942,-0.5179526,-0.6383892,-0.5501865,-0.62337583
Epsti1,-0.20058799,0.25000533,-0.19887966,-0.681059,0.076339275,-0.49061543
Fgf14,-0.6480611,-1.6316848,-0.43859664,-0.5660248,-1.9381025,-2.525663
Selenop,-0.2722713,-0.68819124,-0.8462435,0.36779642,-0.88267684,-0.021313936
Rictor,-0.04981903,-1.7004175,-0.27943915,-0.67483664,-0.10136051,-0.81565404
Lifr,-0.5413886,-0.46726537,-0.8059311,0.2024284,-0.60918933,0.56153333
Nipbl,0.00048243254,-1.3771574,-0.0155462995,-0.47186702,0.037058163,-0.52542704
Mtmr12,-0.37589243,-1.1870571,-0.7556019,-0.42785168,-0.49841112,-0.42508656
Myo10,-0.5076555,-0.53888756,-0.49988878,-0.49655786,-0.5498097,-0.596778
Otulin,-0.9035251,0.16778946,-0.66336554,-0.8251195,-0.48955634,0.094277084
Trio,-1.3347764,0.07980807,-0.16114116,-1.6751459,-0.47142047,-0.61250633
Dap,-1.1609426,0.27769583,-0.57377815,-0.6937144,-0.36693794,0.35812926
Vps13b,-0.12335681,-1.1122673,-0.20324871,-0.7017863,0.1365363,-0.5081305
Azin1,-0.44404578,-0.49766004,-0.55973005,-0.421296,-0.41338927,-0.42518386
Trps1,-0.17510146,-1.7171264,-0.44740856,-0.48355684,-0.17440148,-0.73119533
Enpp2,-2.252275,0.19491789,-1.1827813,-0.6213112,-2.0033548,-1.0181568
Ext1,-0.40876034,-0.50475466,-0.18077709,-0.9636249,0.01600293,-0.18890555
Atad2,-0.2836171,-1.604672,-0.43823615,-0.43642783,-1.2260479,-2.135344
Fbxo32,-0.8940972,0.12390302,-0.7302429,-0.95042855,-0.91156054,-0.07766336
Fam91a1,-0.28874835,-1.3144217,-1.1821392,-0.63714665,-0.57228947,-0.6470169
Nsmce2,-0.19765425,-1.1417238,0.006619364,-1.9057689,0.11349043,-0.7689985
Ndrg1,-1.5930057,0.15425281,-0.9975948,-0.8295884,-1.1542965,-0.5399165
Sla,0.07108122,-2.3648372,-0.040282577,-0.38099346,-0.50156844,-1.9776022
Trappc9,-0.36480603,-0.83968455,-0.29213148,-1.164611,-0.045376927,-0.45280534
Ly6a,-2.5731125,0.7892714,0.033528507,-1.6726195,-2.4271007,-1.8170863
Maf1,-0.45326078,-0.3965018,-0.51828825,-0.07173729,-0.79185945,-0.4624212
Txn2,-0.9614646,-0.23629662,-0.49969637,-0.15425812,-1.3907199,-0.87582374
Sh3bp1,-1.3333908,0.56568885,-1.7749981,-1.4948099,-0.9506686,-0.6759318
H1f0,-1.0733377,0.11691898,-0.46596003,-0.5600538,-0.5006169,0.3547346
Tnrc6b,-0.0812725,-1.130126,0.21694458,-0.9010261,0.42616564,-0.22144365
Ep300,-0.27626792,-1.1102691,-0.37292317,-0.44590366,-0.21282823,-0.776264
Aco2,-0.49241167,-0.4203874,-0.4866961,-0.4043439,-0.49367654,-0.40586987
Xrcc6,0.18854344,-3.7141457,-0.03614597,-0.29820228,-0.6608484,-2.0075383
Srebf2,-0.47923818,-0.47431177,-0.49383232,-0.47841108,-0.4580883,-0.36525202
Desi1,-0.13213031,-2.3109093,-0.12912579,-0.15273231,-0.15145394,-0.35910004
Tspo,-0.5593606,0.42528862,-1.7547499,-0.14858837,-1.7925887,-0.903132
Brd1,-0.34812436,-1.0058955,-0.3008847,-0.6301834,-0.4817708,-1.214469
Ano6,-0.010452107,-1.9252746,0.10707748,-0.88525236,0.31775206,-0.7993648
Slc38a1,-0.32756126,-1.3330483,-0.38934678,-0.502217,-0.18753609,-0.48068368
Senp1,-0.7361712,-1.0960662,-0.24801253,-0.34609354,-0.124322236,-0.277819
Ccnt1,-0.36004257,-1.0129007,-0.7199768,-0.5063832,-0.4672876,-0.56504864
Smarcd1,-0.5569318,-0.8960866,-0.55338883,-0.56267464,-0.1579647,-0.3273073
Lima1,-1.2157948,0.105040014,-0.1864976,-0.92818516,-0.352569,-0.65947324
Bin2,-0.38394478,-0.2739927,-1.718243,-0.3375786,-1.0375915,-1.6473551
Krt7,-2.1620202,0.56058764,-1.2676971,-1.4303265,-1.2652829,-0.25930667
Krt5,-2.910904,1.1181406,-3.106573,-2.1929007,-1.6417956,0.00674206
Zfp740,-0.39864162,-0.7084116,-0.5253606,-0.35986626,-0.5094585,-0.37754142
Sp1,-0.23092312,-1.3372599,-0.6640258,-0.1411938,-0.67902535,-1.27264
Hmox2,-0.31233186,-0.92135614,-0.41341987,-0.3228408,-0.69399977,-1.298013
Rogdi,-3.0115633,0.82866096,-1.8028347,-3.041693,-1.8018186,-0.80007607
Rbfox1,-2.113074,0.43865094,-0.39740765,-2.709805,-0.0976979,0.9736079
Socs1,-0.02624568,-1.6794887,-0.39203423,0.016684413,-1.2824085,-2.0570667
Snx29,-0.5092571,-0.9030355,-0.21333203,-0.9197109,-0.18054824,-0.39740276
Mkl2,-0.63573766,-0.6036084,-0.5854673,-0.5973148,-0.61685306,-0.5820802
Mcm4,-0.50825465,-1.2797087,-0.7130544,-0.14169069,-1.2665706,-1.3267927
Ppil2,-0.47118932,-0.7451949,-0.79261625,-0.45585376,-1.8940599,-2.212641
Crkl,-0.40963668,-1.0941664,-0.42658427,-0.36277863,-0.59269166,-0.7787228
Dgcr6,-0.5328444,-1.5846825,-0.7762847,-0.36811432,-0.9215543,-0.6714902
Klhl6,-0.2483716,-1.0639427,-0.5915761,-0.21941136,-0.5648291,-1.3192344
Abcc5,-0.114420176,-2.9221191,0.19388115,-0.8724637,-0.13722938,-1.8718503
Polr2h,-1.1424723,-0.2151008,-0.7324532,-0.41553307,-0.91215205,0.0322662
St6gal1,-0.48372996,-0.18253633,-0.46014422,-1.1355656,-0.1581728,-0.233156
Trp63,-1.1780415,-0.58092487,-0.24045096,-0.34367824,-0.8195983,-0.4632778
Ccdc50,-0.7121185,-0.54144084,-0.62106436,-0.5465728,-1.1723769,-1.5958819
Lpp,-0.23338744,-0.650021,-0.044803962,-0.7609108,0.02191481,-0.3621252
Opa1,-0.5958005,-1.060557,-0.61191756,-0.6415813,-0.44218296,-0.5561627
Acap2,-0.25043485,-1.0488648,-0.43261394,-0.7415689,0.021241121,-0.3375591
Apod,-2.1964152,-0.558927,0.6933042,-0.39977962,-1.8294188,-0.8166287
Dlg1,-0.15623108,-1.3627206,-0.19038635,-0.65859663,-0.097183384,-1.1580334
Pigx,-0.60748535,-0.58139765,-1.0313985,-0.49665302,-1.2741885,-1.6827481
Zfp148,-0.035203144,-1.1728958,-0.16476488,-0.487875,-0.07391473,-1.0966938
Kalrn,-1.2207284,-0.27713817,-0.027267158,-1.6254673,-0.6919044,-0.3757427
Parp9,-1.4125478,0.41477686,-1.9462522,-0.9343943,-0.9222427,0.36735177
Usf3,-0.53943473,-0.7037393,-0.48395526,-0.62717134,-0.380886,-0.4317534
Cd96,-0.35119632,-1.9039917,-0.33603275,-0.5461746,-0.69852436,-1.4075611
Trat1,0.07165639,-2.927782,-0.47973734,-0.088510476,-0.6088177,-1.7305447
Bbx,-0.1717261,-1.4232905,-0.3852923,-0.790429,-0.5085845,-1.7369702
Cblb,-0.43924922,-0.08608814,-0.39935103,-0.47593522,-0.26466507,-0.39171124
Alcam,-0.4898917,-1.0905967,-0.36009565,-0.2908606,-0.7641855,-0.7785541
Zfp654,-0.3869064,-1.483629,-0.6260672,-0.56556726,-0.8643447,-1.582944
Samsn1,-0.94087625,0.3868144,-1.8533659,-0.9686415,-1.6358513,-1.6295712
Nrip1,0.087961555,-1.584737,-0.4309998,-0.5231236,0.12217426,-0.41881913
Cct8,-0.50453085,0.06856397,-0.6934644,-0.15817744,-0.32007486,0.60714
Runx1,-0.012870055,-1.2566168,0.08616625,-0.827091,0.2408654,-0.90718883
Zdhhc14,-0.088836506,-2.7300239,0.20836967,-1.6796439,0.1458219,-1.4823042
Qk,-0.3225841,-1.3755469,-0.32326883,-0.27014816,-0.331199,-0.50079274
Igf2r,-0.5857476,-0.1695396,-0.6006161,-0.53799915,-0.67550457,-0.65018505
Ppp2r1a,-0.28087997,-0.71660966,-0.33795777,-0.24895075,-0.58700943,-0.88147116
Stub1,-0.8363529,-0.022510067,-0.41404557,-0.56156445,-0.6463971,-0.119529516
Axin1,-0.5778478,-0.8183224,-0.59518874,-0.9797783,-0.47079542,-0.7487805
Fkbp5,0.042836525,-2.6069455,0.19936994,-0.1850309,-0.1729171,-1.8713406
Kctd20,-0.4323297,-0.21788731,-0.39337486,-0.36560985,-0.3106193,-0.2687422
Zfand3,-0.27884254,-0.5589175,0.21228436,-0.8777758,0.2987458,-0.6528326
Btbd9,-0.2439143,-1.1255778,0.22910392,-1.7610734,0.5555103,-0.8829277
Pknox1,-0.49686718,-2.0146837,-0.56135523,-0.54206735,-0.72674584,-0.6453072
Zfp871,-0.6532299,-1.7899152,-0.5519925,-0.44051245,-0.62685,-0.8607414
March2,-0.6484078,-0.6361265,-0.7220891,-0.62561524,-1.0155768,-0.8189702
Daxx,-0.79293257,-0.30414852,-2.2935123,-0.6491996,-1.2624333,-1.2239963
Tapbp,-1.3964525,0.90735954,-0.37994823,-0.84900403,-0.4485614,0.4867602
H2-DMb1,-2.5312152,0.46518412,-1.737431,-1.3162388,-1.2329185,-0.056592703
Psmb9,-0.6654124,0.16403385,-0.5741739,-0.32519543,-1.353821,-0.80985844
Tap1,-1.1575751,0.72871566,-0.561773,-1.515661,-0.44672608,0.22897047
Tap2,-0.6531832,-0.13870393,-0.38357633,-0.43170795,-0.18245314,0.15109867
H2-K1,-1.5857613,1.0421231,-0.78502,-0.9372324,-0.29578826,1.4559808
H2-Ab1,-1.0040314,0.7961335,-0.137537,0.15727276,-0.9305248,0.16088694
H2-Aa,-1.0354543,0.7863322,-0.12289128,0.060954154,-0.9748874,-0.37440574
H2-Eb1,-1.0639048,0.70007706,-0.031000346,0.30395707,-2.0675364,-1.6454725
H2-D1,-1.36711,1.1170535,-0.46778795,-0.45837826,-0.82103026,0.38006967
Ppp1r18,-0.56744874,0.20988685,-2.226517,-0.11484924,-1.3821981,-0.48048034
Gnl1,-1.6672602,0.5225136,-1.0624604,-1.3450143,-0.83992374,0.65419734
Znrd1,-0.6779542,-0.8209163,-0.793499,-0.4038114,-1.4995265,-1.3409748
Ubd,-2.4816074,1.1575322,-2.8492215,-1.9016547,-2.0444663,0.21353513
Clic5,-0.6005722,-2.0986438,-0.19865093,-0.48897058,-0.6347262,-0.7650274
Plcl2,-0.36283475,-0.48703018,-0.39753473,-0.7114607,-0.02824971,-0.8064666
Kat2b,-0.45311087,-1.482871,-0.40870887,-0.5289405,-0.07002506,-0.47887042
Sh3gl1,-0.45423716,-1.1342173,-0.5731239,-0.4807117,-0.97816694,-0.7358918
Ranbp3,-0.5734267,-0.96964526,-0.48901102,-0.5879792,-0.33408946,-0.46051198
C3,-2.3100693,0.55585814,-0.3510116,-0.6909263,-0.7987345,0.75924253
Fbxl17,-0.13638738,-0.8895237,-0.20089903,-1.2094731,0.40341824,-0.35954523
Ralbp1,-0.3563983,-0.5633378,-0.42273736,-0.39634353,-0.3331427,-0.3636438
Smchd1,-0.21167505,-0.70358336,-0.5755922,-0.30735868,-0.96422124,-1.5285119
Ypel5,-0.6687997,-0.91875196,-0.560331,-0.07955465,-1.4725306,-1.2566848
Strn,-0.53145856,-1.0316359,-0.54237306,-0.5721029,-0.41492754,-0.540671
Eml4,-0.477068,-0.78138095,-0.5712289,-0.48973548,-0.489281,-0.5672237
Epcam,-2.5033703,0.6437474,-1.2402352,-1.6036417,-1.7279758,-1.776225
Msh2,-0.5136138,-0.9931826,-0.5159806,-0.38515365,-1.0712538,-1.3443611
Svil,-0.35215932,-1.2572105,-0.06577802,-0.7662693,0.011888757,-1.3798805
Zeb1,-0.052643873,-2.1332304,0.1873793,-0.82509744,0.08966303,-1.3583012
Epc1,-0.25502005,-0.78685266,-0.2479675,-0.31380862,-0.06620197,-0.3452958
Ccny,-0.44305432,-0.8387346,-0.4577499,-0.567901,-0.5909354,-1.3265998
Kctd1,-0.40998912,-1.5622718,0.18134123,-0.48841235,-0.9798758,-1.943385
Camk4,0.21041964,-2.1850243,-0.031016737,-0.6959547,0.3073024,-1.1105328
Etf1,-0.44573367,-0.057423286,-0.42438173,-0.19969717,-0.65485483,-0.5655742
Ctnna1,-0.5767334,-0.046649896,-0.2647255,-0.54543257,-0.53016084,-0.36117584
Rnf14,-0.6920882,-1.06195,-0.675938,-0.67927384,-0.7621473,-0.8130125
Arhgap26,-0.6474456,-1.0343325,0.20882618,-1.6973152,0.28949657,-0.11422962
Nr3c1,0.10332824,-2.4931169,-0.07536211,-0.26314026,-0.022059351,-1.1717762
Rbm27,-0.48559693,-1.0533183,-0.528998,-0.52712405,-0.8929689,-1.592195
Ap3s1,-0.016306236,-3.518818,0.0077666044,-0.8620961,-0.49908507,-1.8637056
Snx2,-0.5227287,-0.8659884,-0.5505846,-0.33358902,-0.999908,-1.0641913
Cep120,-0.42790276,-1.1317868,-0.5196111,-0.43091995,-0.8521392,-0.72123754
Dctn4,-0.6148889,-0.74100894,-1.0416377,-0.61269534,-0.5862355,-0.334419
Cd74,-0.6906313,0.67884344,0.16959131,0.28442705,-1.5487761,-1.2161386
Tcof1,-0.17654017,-1.8379583,-0.7896096,-0.32494488,-0.33191565,-0.8425979
Ctdp1,-0.63471496,-1.2151636,-0.67002153,-1.0254538,-0.17450342,-0.5764526
Nfatc1,-0.43534747,-0.4199856,-0.45058134,-0.4466803,-0.4539386,-0.57411605
Atp9b,-0.3706532,-0.92832565,-0.3142395,-0.5522077,-0.08851394,-0.8900262
Zfp407,-0.21758018,-1.5806067,-0.14593433,-0.47475588,-0.013759792,-0.6850945
Cyb5a,0.20640063,-2.1629288,-0.4364583,0.3818809,-1.6195099,-2.3314679
Cpt1a,-0.22366491,-1.4019873,-0.260772,-0.41950983,-0.5378296,-1.0464749
Ppp6r3,-0.27035582,-1.2673645,0.1645936,-0.5054806,-0.15086114,-1.5210315
Unc93b1,-1.1261157,-0.22642207,-1.0857587,-0.65889704,-0.7743,-0.1367048
Cdk2ap2,-0.6134714,0.4960794,-1.197885,-0.3093735,-0.76878226,0.024697274
Coro1b,-0.3641999,-0.7585205,-0.5430262,0.27053112,-1.8708408,-1.8984667
Gm21992,-0.23761709,-1.5376344,-0.064766884,-0.7970964,0.13754034,-0.8009948
Pacs1,-0.50652194,-0.76532143,-0.45829612,-0.9082253,-0.004316941,-0.4781701
Banf1,-0.23284724,-0.8885766,-0.7268647,0.45667544,-1.6212939,-1.320538
Sipa1,-0.61621606,-0.7212826,-0.6374644,-0.6393525,-0.6872434,-0.67540807
Pcnx3,-0.5399349,-1.0109535,-0.52298754,-0.67804956,-0.25251842,-0.4297066
Frmd8,-0.43321306,-0.6807274,-0.47796535,-0.35595244,-0.79610765,-1.0393016
Neat1,-0.6664948,0.22129244,0.06925154,-1.5004027,0.29130557,0.05044833
Capn1,-0.9024756,-0.15307014,-0.680761,-0.7508098,-0.3610664,0.78204036
Prdx5,-0.19741943,-0.73457944,-0.7762997,0.26125097,-1.639869,-1.3199075
Stip1,-0.410833,-0.68112946,-0.86744595,0.040636912,-0.8628191,-0.42182228
Otub1,-0.4949689,-1.2885153,-1.3401854,-0.3127492,-1.2161878,-1.4947528
Cox8a,-0.29217768,-0.8238579,-0.41255748,0.52192473,-2.92727,-2.953626
Mta2,-0.35846,-0.9837159,-0.41602218,-0.20255384,-0.6894175,-0.6408379
Ahnak,-1.4164301,0.0793483,0.26306278,-0.36117128,-1.1639414,-0.7533622
Tmem258,-0.25669774,-1.921462,-0.6820953,0.2049762,-2.7315457,-2.9386506
Fth1,0.0074706767,-0.82707286,0.08026564,0.6130158,-2.3803916,-2.854626
AW112010,-2.605401,1.0402989,-2.2723627,-1.444421,-2.286263,-1.1189624
Mpeg1,-1.2991805,0.10911414,-1.6581964,-0.2371786,-1.3991001,-0.6296653
Gnaq,-0.6405591,-0.7803023,-0.55204725,-0.50226396,-1.100601,-1.7365712
Ostf1,-0.580209,-0.30196524,-0.6700896,-0.5628762,-0.9925525,-0.96685565
Rfx3,-0.19625896,-2.2661467,0.08761352,-0.8011864,-0.0108843595,-1.3433481
Jak2,-0.4488718,-0.16574304,-0.522077,-0.43218988,-0.95734406,-0.9674493
9930021J03Rik,-0.3799839,-1.5721433,-0.5086525,-0.8340627,-0.09982364,-0.6265916
Uhrf2,-0.32073838,-1.6055784,-0.23424473,-0.51148057,-0.1204163,-0.60851365
Malat1,0.00791638,-0.12631163,0.034118544,-0.70852786,0.59524626,0.4222709
Pdlim1,-0.44555575,-0.12521228,-0.3210989,-0.22311956,-0.97356796,-0.7449404
Arhgap19,-0.5375001,-2.1942325,-0.88001716,-0.50585103,-0.6979128,-0.7875526
Dntt,0.29052937,-4.091853,-0.1571028,-0.12294831,-0.044929154,-0.8337854
Scd2,-0.4988793,0.06131147,-0.81139314,-0.25734633,-0.2341058,0.4653858
Btrc,-0.6704999,-1.7420206,-0.14685494,-1.5126984,-0.29716158,-1.3696008
Nfkb2,-2.4481463,0.58393556,-1.6839063,-1.6432287,-1.5772667,-1.4344134
Gbf1,-0.40542156,-0.89136505,-0.36531252,-1.2882354,-0.1401115,-0.3492335
Add3,-1.034641,0.38933423,-0.71738356,-0.8742063,-0.8886708,-0.75459486
Shoc2,-0.43446684,-0.9813477,-0.44928288,-0.43195945,-0.49927232,-0.46665528
Vti1a,-0.3136299,-0.9068767,-0.056794018,-0.9313283,0.004608877,-0.9093524
Frmd4a,-0.5266181,-0.9428601,-0.44708717,-0.5772163,-0.3789003,-0.39966524
Upf2,-0.31190214,-1.1243447,-0.27339327,-0.59708756,-0.6137362,-1.8852264
Taf3,-0.5296674,-1.4528425,-0.6310844,-1.1525782,-0.07956219,-0.63869715
Pfkfb3,-1.1335851,0.0024127066,-0.61013734,-0.7946624,-0.69029117,-0.06080103
Vim,-1.0249829,0.81968236,-1.2822276,-0.28008083,-2.1352692,-1.451827
Nebl,0.18374093,-3.7509828,-0.17367347,-0.58118194,-0.2795424,-1.669406
Plxdc2,0.089633435,-2.777365,0.26284721,-0.75996214,0.023457438,-1.7107526
Pip4k2a,0.03762312,-1.5642732,-0.059859898,-0.8047965,0.3241518,-0.6433094
Camk1d,-0.14972936,0.118887976,-0.24386,-0.98453695,0.81382596,1.3806031
Sdccag3,-0.38926175,-0.54038453,-0.37425822,-0.36604762,-0.08120142,0.12750393
Notch1,-0.3825482,-0.65146494,-0.32543123,-0.60513896,-0.08405094,-0.38465205
Surf4,-0.49018314,0.16184264,-0.5044939,-0.34860486,-0.18479702,0.45546412
Wdr5,-1.2223935,-0.25719932,-0.60592264,-0.6177975,-0.6449108,-0.10477254
Sptan1,-0.23602125,-0.8830104,-0.23177093,-0.26739138,-0.37709153,-1.0496192
Abl1,-0.38893694,-1.6085696,-0.23868762,-0.4031328,-0.27838308,-0.7402526
Fam78a,-0.15226945,-1.0653086,-0.22813323,-0.22981128,-0.07317245,-0.27131838
Fam102a,-2.1670952,0.7021209,-0.5074959,-2.5276306,-0.52706355,0.6056539
Hspa5,-0.65828294,0.7464644,-0.63190114,-0.2607804,-0.6160258,0.15558052
Ndufa8,-0.522411,-0.66264063,-1.3771167,-0.070283175,-2.0185246,-1.9577472
Gsn,-1.0153345,0.22528182,0.63875604,0.30099893,-0.91182804,-0.01737076
Strbp,-0.33424652,-1.7419856,0.01121828,-0.34244084,-0.26585984,-0.9457916
Dennd1a,-0.10218796,-1.4499407,-0.11476807,-0.46786654,0.014891826,-0.8572327
Ppp6c,-0.6042575,-0.38664037,-0.6132933,-0.47533688,-0.43925413,0.43033803
Scai,-0.47075698,-1.4709852,-0.49491143,-0.5837383,-0.40067527,-0.8955004
Gtdc1,-0.04837632,-2.0558848,-0.31343305,-1.0115677,-0.07280841,-1.6485715
Arhgap15,0.077546775,-1.315059,0.12297925,-0.60036683,0.36724263,-1.1854415
Fmnl2,-0.48103654,0.03248916,-0.48333713,-0.5408366,-0.49895138,-0.6913317
Prpf40a,-0.10203809,-1.0998299,-0.5746442,-0.10682564,-0.6794423,-1.3375063
Cytip,-0.42621475,0.51069313,-2.0391915,0.061885864,-1.024122,-0.5893128
Tanc1,-0.87713873,-0.7539379,-0.6551953,-0.6087413,-0.85432374,-0.75152755
Ubr3,-0.43037444,-1.6188433,-0.29775712,-0.4666731,-0.28578815,-1.0490035
Slc25a12,-0.56489384,-0.95337886,-0.65670985,-0.5727466,-0.5607944,-0.61264503
Itga6,-0.55023044,-0.27675962,-0.5709795,-0.6500175,-0.561192,-0.7647104
Ssrp1,-0.45410138,-0.05928717,-0.42321706,-0.09065052,-0.75851387,-0.39276505
Celf1,-0.16580278,-0.48780847,-0.25828516,-0.3081486,0.33280623,0.041201353
Trp53i11,0.036034998,-3.0581727,-0.49636036,-0.3654666,-0.3715842,-1.2949772
Rag2,0.124563664,-3.8057556,-0.39258206,-0.3605975,-1.1588137,-1.8582764
B230118H07Rik,0.3775469,-3.7284093,-0.24556985,-0.6925421,-0.90395343,-2.1677043
Trim44,-0.3671538,-1.0147882,-0.35648102,-0.3736232,-0.41750208,-0.85127795
Ldlrad3,-0.14601462,-3.460037,-0.032087803,-1.1270342,-0.13383862,-1.7258762
Cat,-0.16516972,-0.94075805,-0.9187628,0.20269023,-2.0110688,-1.7995337
Abtb2,0.016199514,-1.6925532,-0.04214123,-1.3027546,0.42218518,-0.6259482
Fbxo3,-0.41925216,-0.6998312,-0.5527521,-0.43256325,-0.79465187,-0.9577632
Rag1,0.5181735,-4.1375194,-0.35233763,0.03987573,-0.10681467,-1.0498765
Aqr,-0.52551436,-1.2953511,-0.6776657,-0.48699623,-0.59155536,-0.56869954
Bmf,0.11360905,-3.0490823,-0.41554305,-0.35569185,-1.126484,-1.8723108
Bub1b,-0.39656156,-2.1969252,-0.37283495,-0.38281327,-0.718809,-1.1308475
Ctdspl2,-0.21264958,-1.6585644,-1.4087975,-0.31569597,-0.7646639,-0.9212967
Dut,-0.24123113,-1.5642068,-0.37268245,0.21459523,-0.92636377,-1.5447474
B2m,-0.7271987,0.89126325,-0.21418199,-0.06377981,-0.34182185,0.53322595
Gabpb1,-0.4295748,-1.25225,-1.110254,-0.4143195,-0.8015269,-1.0903449
Stard7,-0.62689924,-0.18358412,-1.2246554,-0.41518715,-1.6988486,-1.4583956
Dusp2,-0.66060704,0.027564943,-1.5919929,-0.68510723,-0.87515473,-0.4842493
Bcl2l11,-0.40630013,-0.47410917,-0.48154676,-0.36728483,-0.36586672,-0.36059183
Sirpa,-1.4866996,-0.059191182,-1.7623048,-0.9317083,-0.83301175,0.8452176
Ddrgk1,-0.9991099,0.26181614,-1.224973,-1.3240908,-0.53988576,0.5839294
Atrn,-0.61186314,-1.5049971,-0.7242705,-1.3537025,-0.17903292,-0.6075334
Prnp,-1.6880584,0.44100216,-0.5893549,-0.7739101,-1.7497199,-1.3346202
Cds2,-0.5100399,-0.59116507,-0.5263565,-0.5408417,-0.31169742,-0.32884747
Macrod2,-1.7550159,0.33594614,0.0053808093,-1.1141511,-1.7988353,-1.9023778
Snrpb2,-0.53176206,-0.13175873,-0.8330102,-0.34152943,-0.6133944,-0.3075382
Cst3,-1.3262028,1.1273797,-0.72811544,-0.6824348,-0.8380224,0.5263078
Fkbp1a,-0.27214977,-1.1170727,-0.3139523,0.12846568,-0.8600237,-1.1427655
Rbck1,-0.5323374,-0.21244256,-0.4924244,-0.36970627,-0.41390288,-0.025060356
Dynlrb1,-0.1547949,-0.78417736,-0.53851986,0.3402906,-1.3327367,-1.1686238
Edem2,-0.76211095,-0.7194456,-0.73222655,-0.7406633,-0.7571993,-0.6506678
Samhd1,-2.2267425,1.0648625,-2.675332,-1.7890006,-1.5558207,0.3432967
Rprd1b,-0.64643794,-0.7606281,-0.62701905,-0.6046586,-0.6749152,-0.7104566
Ralgapb,-0.42521822,-0.9163327,-0.4919044,-0.55921173,-0.23577976,-0.52567124
Chd6,-0.18773873,-0.88023126,-0.20656,-0.43127966,-0.20330971,-0.51988184
Ada,-0.32875508,-3.3295956,-1.226155,-0.13240685,-1.7174925,-1.7021009
Sdc4,-1.0333707,0.013644546,-0.46911877,-1.0153676,-0.49295855,0.76631343
Pltp,-0.55198836,-2.146207,0.28464407,-0.017638683,-1.2826984,-1.8491595
Ptpn1,-0.45416486,-0.0072697327,-0.9671985,-0.44121757,-0.43250725,-0.3814017
Zfp217,-1.107537,-0.15450475,-0.6603148,-0.6866606,-0.46629697,-0.26298484
Stx16,-0.47626972,-1.2056566,-0.44077134,-0.7495323,-0.24532494,-0.5881641
Gnas,-0.31913608,-0.7213825,-0.32597536,-0.011908516,-1.8937645,-2.0640004
Ctsz,-1.8907971,0.7378067,-1.2164259,-1.1297163,-0.7441431,-0.096976936
Cdh4,-0.559294,-1.8806906,-0.34413764,-0.43048945,-0.70566946,-0.46218425
Ogfr,-0.9977761,0.20270896,-1.1586078,-0.27899864,-0.36557043,0.49946398
Rps21,-1.2065182,0.99369484,-0.6608078,-0.80972606,-0.5713515,1.3518113
Ythdf1,-0.60595167,-1.0231447,-0.67113376,-0.4838143,-0.82403433,-0.660518
