,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
PLAT,-0.18130639,0.14965117,-0.2125712,-2.6069746,-1.869014,-0.37045473,-1.9521687,-0.2724745,-1.5465856,0.25452358,-0.14454451,-2.6835902,-0.6071575,-1.1217155
CEBPD,-0.06093429,-0.23683438,-0.6697325,-0.4453562,-0.27780342,-0.1643708,0.08899468,0.026139632,0.12144601,-0.45644253,-0.0589246,-0.28658068,-0.11946547,-0.30735165
ASPH,-0.870042,-0.5694225,-0.7993415,-0.47366017,-0.79807836,-0.08401312,0.03102094,-0.027057633,-0.061662525,-0.9060167,-0.21479402,-0.316836,0.051862687,-0.34006503
SNHG6,-0.28655544,-0.2410894,-0.24419524,-0.61996776,-0.2422599,0.027233928,-0.06598814,-0.22436759,-0.27562746,-0.25742686,-0.21213399,-0.7001281,-0.17876342,-0.80026126
SULF1,0.4658693,0.32557452,-0.96626866,-2.2561255,-2.6197307,-1.5604616,-0.9613375,-1.022513,-0.28122228,0.65016043,-1.9050466,-2.891233,-0.7229005,-1.1041871
FABP5,-0.9276546,-1.939378,0.09715408,-1.2810991,-0.6687629,0.050880253,-0.31884098,0.27040976,0.32090658,-3.376288,0.39036167,-2.7406669,-0.37246785,-1.8710672
RMDN1,-0.9754447,-0.52687615,-1.0981677,-0.40898362,-0.5478434,-0.86550796,-1.534207,-1.8931731,-1.274964,-0.029727519,-0.3550001,-0.734874,-3.3458624,-0.5568111
RIDA,-0.9875077,-0.4948316,-1.2318873,0.5159093,0.19798774,-1.5905569,-3.227274,-1.7049993,-0.8401815,-0.25565544,-1.5209402,0.6340503,-1.1488864,0.2507831
COX6C,-0.19820906,-0.18381998,-0.34549263,-0.19407988,-0.17462203,-0.05581963,-0.18489796,-0.27823702,-0.1813068,-0.23116788,-0.23577677,-0.09717373,-0.20368843,-0.26096296
RRM2B,-0.28609204,-0.36915994,-0.1342121,-0.4997397,-0.45341605,-0.25962478,-0.43726632,-0.9440897,-0.45406803,-0.4331419,-0.5036109,-1.5583553,-0.9113902,-0.40895095
DPYS,-0.6200102,-0.19684154,-2.2169478,0.1485945,-0.210917,-0.6807728,-1.4913123,-2.430595,-0.5638515,-0.29104272,-1.2267219,0.06708741,-2.4127812,-0.6672046
EIF3E,-0.45848992,-0.05797252,-0.5816165,-0.29172787,-0.46954814,-0.08282909,0.15095961,-0.14537054,-0.1713744,-0.21854854,-0.26926333,-0.46561864,-0.06701544,-0.59168017
ENPP2,-0.07336585,-0.9976345,-0.019257642,-0.6294205,-0.7226713,0.30894446,-0.08575441,0.033328235,0.37524116,-2.8415992,-0.14485218,-0.5095198,0.35657215,-0.22463937
LRATD2,-0.8401135,-2.9525275,-0.30950645,-0.66956127,-0.6687554,-0.5476891,-4.2674904,-0.63552475,-0.3925975,-0.98693126,0.09731048,-0.23281178,-1.491965,-1.4397783
MYC,-1.5867374,-0.4696768,-1.4379499,-2.3126822,-0.6916921,-1.3270651,-0.49841136,-0.3693093,-0.00822562,-0.17392188,0.0916962,-2.0439575,-1.3970066,-1.3928444
PTP4A3,-0.0007607639,0.21480906,-0.4289834,-0.7499324,-1.0935357,-0.45444816,-0.6350663,-0.104284674,-0.84938496,0.17387456,-0.05834493,-2.5806522,-1.1796598,-0.43475437
NAPRT,-0.8186374,-0.12891448,-0.38014573,0.2837155,-0.061280638,-1.3089035,-1.3916261,-1.3536706,-1.3317597,-0.39722192,-2.1115265,0.28651386,-4.019829,0.17323136
PPP1R16A,-1.9083124,-0.5258182,-0.56829447,0.06794846,-0.07110667,-1.4037607,-0.6028687,-1.6855984,-0.72266495,-0.49848711,-0.3047223,0.201671,-3.0907001,-1.1322298
PSIP1,-0.5578633,-0.49507195,-0.7779752,-0.6679746,-2.1641889,-0.65606177,-1.2415302,-0.15321797,-1.0776575,-0.013934791,0.09139967,-0.4252627,-1.7496017,-1.1656418
PLIN2,-0.22257303,-0.32704684,-0.2608733,-0.11740108,-0.2091198,0.087577134,0.13556556,-0.07175745,0.036643907,-0.44612488,-0.12486397,-0.05203486,0.14733872,-0.13311805
CHMP5,-0.46035042,-0.53323746,-0.30595976,-0.6270094,-0.63160574,-0.29072273,-0.696123,-0.33760434,-0.48295942,-0.46274433,-0.2654133,-0.72172123,-0.11245912,-0.42980823
AQP3,-1.185855,-0.60923946,-1.6032026,-1.1055263,-1.132756,0.054694176,-1.805127,-0.7546439,0.46930635,-0.072340876,-0.08758849,-0.67282957,-0.4366753,-1.5501367
CCL21,0.66814876,-0.44746125,-5.20787,-5.3802357,-5.310095,-5.583476,-4.758691,-5.5422196,-5.4810514,-0.27687442,-5.206838,-5.0205383,-5.228558,-3.902495
CA9,-0.2592485,-0.35339338,-2.114553,0.061393976,-0.3987395,-0.27825677,-0.20361201,-0.29846603,0.06794971,-0.27367657,-0.42444465,-0.05676551,-0.20150134,-0.23795529
