,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
SLC5A12,-4.3274326,-0.7495285,-1.7520928,0.59764063,0.38567966,-2.271999,-3.727722,-2.814431,-1.5605147,-0.8759171,-3.7185931,1.0210246,-3.502161,0.14169276
BBOX1,-1.1887398,-0.31948656,-1.1272755,0.33384848,0.17142081,-0.5674244,-1.1361911,-0.7143258,-0.6647135,-0.06479792,-1.4233356,0.5718571,-0.27555782,-0.061209142
CAT,-0.31562516,-0.40743864,-0.40278894,0.25638092,0.06582785,-0.3275356,-0.5978813,-0.25592032,-0.34651786,-0.37128636,-0.7499459,0.28956658,-0.16570167,-0.23260908
C11orf96,0.23350415,0.18984973,-0.19533882,-0.37626767,-0.1870335,-0.2262493,-0.20253824,-0.12522016,-0.20551988,0.013668507,-0.17903982,-0.64390117,-0.18425265,-0.18655175
TP53I11,0.064190924,-0.24472699,-0.8977192,-0.3041296,-1.0323462,-0.18593888,-0.150453,-0.012030765,-1.3873107,-0.22108679,-0.07491146,-0.7350806,-0.2311836,-1.1518279
SYT13,0.03496492,-3.6161778,-0.07421711,-1.4697208,-1.8490463,0.12559557,-1.19278,0.022241712,0.6084816,-0.6494467,0.29117167,-1.2721561,0.2693383,-2.9676964
SPI1,-0.25367343,-1.0778546,0.53584516,-2.4470906,0.016614616,-0.5203866,-2.2087035,-1.1346891,-1.1156235,-1.7208977,-0.8390035,-3.0415337,-1.2600701,0.09759182
PTPRJ,-1.0269411,-1.1563616,0.6755644,-0.7697343,0.2550423,-1.2559513,-1.8670421,-2.3842936,-1.6608949,-0.7042831,-1.1095302,-0.13608813,-4.0314236,0.2534938
APLNR,-0.9959901,0.50101733,-1.0740496,-0.12904812,-1.2930332,-4.7868085,-1.0657635,-1.8022794,-1.521329,0.7908114,-1.9876735,-0.57193893,-1.4024274,-0.7307727
SLC43A3,-0.8425498,-0.3752907,-0.6246551,-0.57060945,-1.0441517,0.082861245,-0.93123835,-0.18615279,-0.44587854,-0.5090859,0.08029318,-0.5576767,-0.40755466,-0.9952801
SERPING1,0.086237326,-0.17342907,0.30020598,-0.2698628,0.3312252,-0.11855723,-0.07596107,-0.1715452,-0.15399924,-0.4158751,-0.255938,-0.3480407,-0.10752954,0.24312615
ZFP91,-1.3497388,-0.613096,-0.74131554,-1.0213623,-0.67332125,-0.66651404,-0.61893225,-1.2104895,-0.4891221,-0.56523025,-0.41090345,-1.277684,-1.4959304,-1.0454183
GLYAT,-4.056351,-0.9733926,-4.4682407,0.5642702,-0.15572608,-4.0940747,-0.9574692,-2.3605213,-3.7193754,-1.0501645,-3.9160254,0.18208277,-4.2135005,-0.9880025
GLYATL1,-3.2726996,-0.28668717,-2.4687815,0.4509835,-0.46741712,-3.630213,-1.3696548,-2.8220437,-1.3508465,0.1951316,-2.1890051,0.6027732,-1.3803811,-1.1425078
MPEG1,-0.48912692,-0.084623665,0.43278533,-3.0993829,-0.07199934,-0.3526188,-0.71067536,-0.60825545,-0.7998293,0.028772295,-0.8170943,-2.9548535,-2.705229,-0.20458359
OSBP,-1.2238123,-1.6318619,-1.7959616,-0.464136,-1.2628961,-0.5309983,-0.028137922,-0.35757357,-0.18639788,-0.97787017,-0.6325447,-0.4075511,-1.5304799,-0.6995192
MS4A6A,-0.10680562,-0.78660357,0.5857513,-1.2081567,-0.30933988,-0.35016978,-0.7321955,-0.6259432,-0.6799746,-1.8417723,-0.58882666,-1.6961472,-1.44469,0.44308352
MS4A7,0.4078402,-1.0878291,0.31431383,-1.8223584,-0.5780486,-1.6085933,-1.2411921,-0.47163308,-0.33515102,-0.68364537,-0.521633,-3.1645932,-1.3175642,0.18262339
TMEM258,-0.73179895,-0.2480954,-0.31821793,-0.43907812,-0.4902966,-0.08571091,-0.087910086,-0.17736581,-0.18545043,-0.22977056,-0.20471826,-0.6381779,-0.31288013,-0.60273784
SLC22A6,-2.022048,-1.3951635,-1.6696407,0.39799297,-1.391884,-1.7919124,-4.007478,-4.422926,0.16290218,-1.8807212,-4.1470795,0.93395925,-1.616865,-1.2129956
PLAAT4,0.104970306,-0.8550604,0.5536684,-0.53869176,0.6812043,-0.4022246,-0.1957366,-0.7388372,-0.6755885,-1.2717439,-0.8187011,-0.7809207,-0.2526625,0.7031116
PLAAT3,-0.2783153,-0.7099418,-0.18365178,-0.20077887,-0.10451431,-0.10991482,-0.25065994,-0.16844545,-0.13555728,-0.8796321,-0.16196555,-0.044314146,-0.15289932,-0.13781872
VEGFB,-0.79628205,-0.3550564,-0.5498543,-0.18937233,-0.27370578,-0.20274767,-0.100654215,-0.31543487,-0.43405586,-0.27623287,-0.2977035,-0.1946361,-0.21844156,-0.27823272
SLC22A11,-1.7977102,-1.0295439,-0.978093,0.3748075,0.048014432,-0.4632072,-1.2057841,-1.2435629,-0.30119368,-0.5682607,-1.1637053,0.5064409,-0.30404502,0.19371033
SLC22A12,-4.126297,-0.64611244,-4.300581,0.63495576,-1.4751294,-1.4765552,-4.00405,-4.617757,-1.2131549,-0.40237156,-4.4395437,0.4238484,-3.7189424,-2.0306225
RNASEH2C,-1.2160468,-0.34650674,-0.7803792,-0.51097804,-0.6920645,0.13443315,-0.22420044,-0.5297929,-0.10349274,-0.21233027,-0.08723256,-0.7765156,-0.40256578,-1.3895608
EFEMP2,-0.9812318,-0.21669188,-1.041304,-0.2296133,-0.2673235,-0.34602115,-0.9714992,-0.27006224,-0.06973261,-0.21003777,-0.25916418,-0.28590915,-0.33743927,-0.3023142
CD248,-0.6326301,0.080384254,-3.387397,-0.296984,-2.7832136,-0.24591,-0.17421585,-0.15734413,-0.6649353,0.21671343,0.18976796,-1.156889,-2.3953714,-3.4578202
POLD4,-0.55784243,-0.6353603,-0.19742055,-0.46217805,-0.36031047,-0.34376866,-0.456971,-0.3665058,-0.24031013,-0.35351652,-0.28743017,-1.3170798,-0.5024079,-0.4622694
CDK2AP2,-0.9088706,-0.28061017,-0.20237198,-0.17648026,-0.11946002,-0.30169195,-0.79479516,-0.29228634,0.057837963,-0.51745534,-0.2706635,-0.109549835,-0.31989896,-0.14299807
LINC02747,-2.9346268,-0.31699255,-1.4870293,0.32622755,0.20466185,-3.5497246,-4.254231,-2.0050766,-4.4918833,-0.4230584,-0.78461003,0.14345533,-4.0479116,0.0009557009
ANO1,0.023026764,-0.017282486,-0.21856876,-1.9849651,-0.92376,-0.16965844,-0.3583925,-0.0021674335,-0.48658913,-0.19160903,-0.19698425,-2.6346784,-0.7829882,-0.728345
ARHGEF17,-0.05379723,0.13225347,-0.52941984,-0.30251324,-0.2689591,-0.5631051,-0.38733327,-0.2806586,-0.47957942,-0.0796774,-0.22668877,-0.19670367,-0.6749375,-0.22208674
KCNE3,-0.286223,-0.118390314,-0.5348785,-0.30761796,-0.53818345,0.03623125,-0.34043235,0.08795744,-0.254813,-0.24132238,-0.051916525,-0.6778772,-0.14461811,-0.22145715
SERPINH1,0.12987983,0.09536606,-0.27041805,-0.11606446,-0.2810521,-0.29139426,-0.21214338,-0.13325575,-0.2959342,-0.07417471,-0.22792989,-0.27162278,-0.1284928,-0.21426158
LRRC32,0.30562603,-0.10140337,-0.26867306,-0.045655236,-0.22675575,-0.77584785,-0.36616415,-0.6007935,-0.69013274,0.067130506,-0.64812016,-0.2052505,-0.29828066,-0.06982833
NDUFC2,-0.5718602,-0.5922608,-0.2015481,-0.5851813,-0.34639436,-0.14416704,-0.6278802,-0.36528915,-0.3062336,-0.36394152,-0.19562079,-1.0391529,-0.32025766,-1.385472
SYTL2,-0.39831445,-2.2265253,-0.28657642,-3.9667935,-4.5246058,0.29651326,-0.08998656,0.28961056,0.56128275,-0.57164586,0.3786912,-4.0149846,0.30226564,-4.147586
C11orf54,-1.1432517,-0.43695801,-0.9403757,0.32522997,-0.1518779,-1.319268,-0.21476348,-1.4061345,-0.8260263,-0.32610646,-1.128736,0.44566417,-1.1492989,-0.024894655
BIRC3,-0.3957652,-1.6508248,0.53478205,-1.5807719,0.13912696,-0.28091002,-0.295869,-0.63287896,-0.1386064,-1.3558953,-1.9555665,-1.0192932,-0.6261937,-0.51041394
CASP1,-0.58561456,-1.0040777,0.5230268,-0.79827595,0.050432444,-0.3645415,-0.81096524,-1.1599755,-1.193408,-1.073771,-1.6478888,-0.9454676,-1.1547639,0.20365739
POGLUT3,-0.4749548,-0.12888044,-0.83877677,-0.46253443,-0.16021895,-1.2586238,-0.7369313,-0.8828865,-0.4792254,-0.3679585,-0.7167249,-0.4372924,-1.8146305,-0.58871526
CRYAB,-0.16444659,-0.2328499,-0.4003623,-0.098299064,-0.29843104,-0.046779137,0.0034152418,-0.08018184,0.08021024,-0.416504,-0.15417951,0.029912993,0.06565416,-0.08869241
NNMT,-0.05638687,-0.28100744,-0.19605803,-0.42788094,-0.45876753,-0.20797954,0.10191639,-0.009816252,0.2665303,-0.38225085,-0.09795636,-0.092216946,0.18917066,-0.10814133
TAGLN,0.5638322,0.43709075,-0.5784711,-0.4856382,-0.76554734,-0.7630339,-0.19204296,-0.039094657,-0.59905875,0.47192043,-0.7476577,-1.5009651,-0.2326361,-0.4225241
FXYD6,0.13579828,0.33339286,-0.66562444,-0.3040303,-0.72786206,-1.0135694,-0.3620294,-0.27152184,-0.8543217,0.11645153,-0.3224876,-0.45093006,-0.48588502,-0.47944903
IL10RA,-0.22427231,-3.47033,0.9702436,-2.2692726,0.39788806,-1.8066232,-1.1046373,-1.8136214,-4.4662447,-4.1922255,-1.3780361,-4.5550623,-4.4096093,0.10950172
KMT2A,-1.0332155,-1.9997216,-0.29027703,-0.73616445,-0.48984683,-0.70749015,0.28450727,-0.5171307,-1.1791639,-0.4837016,-0.60182405,-0.814483,-0.9869702,-0.4746026
PHLDB1,-0.041601002,0.0986121,-0.605739,-0.35818598,-0.369174,-1.2231224,-0.39185107,-0.8979886,-0.7220855,0.14537227,-0.2593313,-0.34397992,-1.0672827,-0.44200492
SLC37A4,-0.78470427,-0.5721578,-0.6646315,0.27375758,0.2455827,-0.5151864,-0.5749088,-0.6846173,-0.28921002,-0.08379352,-1.1337197,0.11126256,-0.66686743,-0.13937484
MCAM,0.15403497,-0.07551992,-0.482577,-0.34321928,-0.5507266,-0.027551249,0.11114405,0.016483948,-0.45525834,-0.15584777,-0.111188695,-0.67464745,-0.0615599,-0.3782003
THY1,0.101265386,0.20254055,-0.7024545,-0.06832592,-0.6253426,-0.2975088,-0.08508825,-0.13016857,-0.7179612,0.1536614,-0.30482185,-0.3485492,-0.18603869,-0.6516093
ESAM,-0.054614156,-0.10757907,-0.20806062,-0.4181585,-0.7440372,-0.1807501,-0.30974445,-0.21480565,-0.21072017,-0.29043812,-0.20540316,-0.65952885,-0.25677395,-0.6131255
ROBO4,-0.8804252,0.036743075,-0.6183669,-0.12974787,-0.94290817,-0.81248677,-0.40934056,-0.20105566,-1.5318451,-0.057503223,-0.31383052,-0.4126422,-0.4166189,-1.1062796
IQSEC3,-2.374908,-1.1474397,-2.8500202,0.6129268,0.60669553,-4.641419,-4.398394,-4.534588,-4.61164,-1.6602943,-3.78601,0.53559625,-4.350935,0.094806075
SLC6A12,-4.3825507,0.19251394,-2.5460596,0.62334186,0.64808774,-4.557222,-2.3605657,-3.7487314,-4.905363,-0.75503325,-4.1682196,0.5468738,-4.4880815,-0.6653465
SLC6A13,-1.0904611,0.05203253,-1.2434406,0.7689674,0.73558617,-2.2913556,-1.9107828,-4.2420874,-4.0279055,0.03239864,-3.9575555,0.7919704,-3.2812073,0.46245408
CCND2,0.15063512,-0.41736847,0.42703688,-0.7710533,-0.172378,0.0043839216,-0.5259726,-0.635183,-1.0035899,-0.31467327,-0.25900102,-2.0489626,-0.85102344,0.026703417
VWF,0.060811654,-0.22098361,-0.009816125,-0.1155432,-0.08890325,-0.091356054,0.019958012,-0.09678892,-0.30808094,-0.5782797,-0.15459755,-0.16914997,-0.018667944,-0.061047945
CD9,-0.17431109,-0.03756781,-0.14703906,-0.7713226,-0.2035802,-0.24479389,-0.40615705,-0.08668585,-0.5575119,-0.11203143,-0.23737986,-1.0264472,-0.48591685,-0.32559156
LTBR,-1.0350608,-0.14817601,-1.2634807,-0.35284853,-0.46898153,-0.77722657,-1.217648,-0.3376871,-0.22408263,0.0018274486,-0.18259667,-0.6884048,-0.7924956,-1.216295
GAPDH,-0.1023893,-0.045380745,-0.33662006,-0.016032234,-0.07807094,-0.07926454,0.094004616,-0.085855395,-0.08069083,-0.09424463,-0.21609418,-0.027242266,-0.012894642,-0.06816349
ENO2,-0.3871551,-0.25104353,-0.51834214,-0.342234,-0.3356899,-0.14192662,-0.2351565,-0.20888901,-0.2666941,-0.26916268,-0.16874105,-0.18303475,-0.1862051,-0.23253532
C1S,0.19487435,-0.20413795,0.41915655,-2.3804414,-0.0064085126,-0.09169224,0.10035959,-0.2842335,-0.19751215,-0.31428212,-0.19475119,-2.2492414,-0.17417032,0.11064866
C1R,0.26694596,-0.31382433,0.503552,-2.6691673,0.07900831,-0.67963725,0.10041186,-0.3927756,0.058591366,-0.23610674,-0.078581646,-1.9738042,-0.5536308,0.11496276
SLC2A3,-0.37938893,-0.13846068,-0.95046985,-0.9730476,-0.6218381,-0.37040284,0.17601198,-0.23135644,-0.07298428,-0.36837214,-0.36312708,-0.9989489,-0.07137051,-0.64503443
CDKN1B,-0.98421085,-0.5419097,-0.7427415,-0.40717405,-0.9779391,-0.66130126,-1.1361908,-0.74185395,-0.41879892,-0.581571,-0.33640036,-1.2255216,-1.3791506,-1.4549332
APOLD1,-0.9079472,0.26498324,-2.325921,0.24605957,-0.07472268,-0.96301585,-0.783321,-1.2249753,-3.810617,0.59517217,-2.2479928,-0.17762238,-1.3946545,-0.80048
EMP1,0.11668387,0.06636095,-0.26316273,-0.7553824,-0.7240808,-0.3964517,-0.4342271,-0.18100318,-0.07771136,-0.12657541,-0.38013664,-0.87929785,0.020242244,-0.38848358
MGP,0.31829607,0.2813612,0.12586273,-0.53786933,-0.12735187,-0.2554075,0.12279205,-0.15079568,-0.30718386,0.029066265,-0.30591017,-0.65981007,-0.11237594,-0.12435252
EPS8,-0.3744984,0.1248517,-0.2837024,-0.0080970675,-0.33254388,-0.745296,-1.01751,-0.41150635,-1.4427732,0.029181212,-0.43867257,-0.24330793,-0.6740197,-0.3259956
MGST1,-0.8151847,-0.6285962,-0.6100619,-0.1877165,-0.680636,0.24221608,-0.20580722,-0.11961587,0.17673373,-0.70147073,-0.23282124,-0.010550767,0.252399,-1.2051885
TM7SF3,-0.7122185,-0.14033267,-0.502078,0.22223228,0.08261454,-0.485676,-0.6030139,-0.91364306,-0.5990213,-0.36854613,-0.8312886,0.32588542,-0.37786627,-0.20918268
TMEM106C,-1.5150657,-0.72239995,-0.34800097,0.04450597,-0.11965656,-0.13106555,-4.35236,-1.1542013,-0.12102023,-0.46330005,-0.4831491,0.42496413,-1.0013268,-0.8075639
TUBA1A,-0.20681763,-0.16644967,-0.512099,-0.55289227,-0.86334026,-0.047723934,-0.042459786,-0.19008225,-0.1124091,-0.27688685,-0.21596783,-0.49073794,-0.05430621,-0.26780885
FMNL3,-0.6161143,-0.43711406,0.37399697,-1.2776775,-0.6215436,-0.6090352,-0.7539504,-0.69724566,-1.8742468,-0.65190107,0.10220659,-1.4235225,-3.2153382,-0.5588459
METTL7A,-0.8717214,-0.11568317,-0.67262334,0.43995377,0.04370877,-0.6604004,-0.88299596,-0.8586166,-0.717354,-0.31833088,-1.1589538,0.39935052,-0.666615,-0.051602274
ACVR1B,-1.5901412,-0.7259862,-3.2017436,-0.22003615,-1.2093472,-1.174844,-0.85263216,-1.8499715,-1.8369863,-0.2643081,-0.4586114,-0.08864015,-0.6815776,-1.4295313
NR4A1,-0.19923916,0.17899019,-0.4907568,-0.98473346,-0.52998805,-0.91667795,-0.17962882,-0.43739274,-0.013747156,0.41526037,-0.49406242,-1.2214268,-0.5591583,-0.5631082
KRT8,-0.1404844,-0.6466278,-0.17339222,0.16160738,0.13529184,-0.2197932,-0.34408376,-0.37078357,-0.15504704,-0.5545331,-0.41908112,0.22184622,-0.18349348,-0.009632885
ITGA5,0.027712196,-0.14659461,-0.44964668,-0.69385326,-0.84458536,-0.20143503,0.05090037,-0.08980265,-0.63512504,-0.21140239,-0.28182894,-0.9967442,-0.3170539,-0.61630535
RAB5B,-0.29950878,-0.8745229,-0.35150245,-0.08946814,-0.56541073,-0.32512757,-0.22450796,-0.40036765,-0.442967,-0.3199114,-0.32763335,-0.41329324,-0.9108008,-0.24097326
ERBB3,-1.1816757,-0.38359332,-0.4604538,0.39484727,0.110284954,-0.92046,-1.0570495,-3.6526296,-0.63492125,-0.53297186,-2.8613992,0.5914901,-1.2301149,0.3652426
MYL6B,-0.9805653,-0.56497824,-0.6575167,-0.55328214,-0.5476747,-0.07643697,-0.48937622,-0.39661622,-0.09961367,-0.7044138,0.060520053,0.024709314,-0.6410966,-1.7279998
SLC39A5,-4.6187983,-0.7988594,-4.294793,0.4154063,0.061195254,-4.928567,-4.747488,-4.7167397,-3.8691487,-0.26266444,-4.344533,0.6413001,-4.6069303,-0.7793545
CS,-1.5895021,-0.3541874,-0.9237769,-0.55164206,-0.5452309,-0.9159042,-0.41131416,-0.66248816,-0.94798774,-0.66717446,-0.6464058,-0.853288,-0.7709028,-0.79963005
STAT2,0.078324616,-0.16086671,0.55038834,-0.46679696,0.3894142,-0.36629534,-0.42324558,-0.49763483,-0.6333717,-0.5233624,-0.61540306,-0.40757537,-1.0699525,0.34173208
NDUFA4L2,-0.12591688,-0.06415689,-0.27496734,0.048155572,-0.009268764,-0.12747031,0.03366287,-0.1077715,-0.08921037,-0.18204959,-0.21304898,0.09770203,-0.03961719,-0.030738428
LYZ,-0.285759,-0.8238394,0.9815488,-1.4421234,0.35007387,-0.038918465,-0.27896038,-1.1901503,-1.5492519,-2.1820297,-0.7007138,-1.3895727,-1.000057,0.33354497
ATXN7L3B,-1.0830941,-0.39821804,-0.3610763,-0.09669993,-0.29847544,-1.3686543,-0.43270913,-0.5256955,-0.6002747,-0.29300702,-0.3789486,-0.20937984,-1.0571773,-0.21515304
PHLDA1,0.024192244,-0.13120443,-1.1018549,-0.3673901,-0.54764414,-0.32133028,0.014070764,-0.113309175,-0.18319125,-0.20505321,-0.25082988,-0.2682616,-0.2843064,-0.42149878
CSRP2,-0.21341065,0.06706184,-0.617455,-0.47367254,-0.6383606,-0.7351116,-1.0314624,-0.5430204,-0.9266522,0.31225103,-1.100709,-0.10721496,-2.3431125,-0.4664598
NUDT4,-0.13987201,-0.44843203,-0.039124638,-1.7295935,-0.7499217,-0.5535665,-1.0382639,-0.29557014,-0.6101848,-0.18515015,-0.2242281,-2.0803754,-0.7802059,-0.2583198
NDUFA12,-1.4056443,-0.667959,-0.53951,-0.70777786,-0.31835073,-0.17924505,-1.4299872,-0.41282222,-0.2663557,-0.44348583,-0.15673938,-0.9028349,-0.7382405,-0.4742552
NTN4,0.045173466,-1.0552344,0.10131413,-0.22969837,-0.49161828,-0.059576184,-0.66204363,-0.5956266,-0.080865964,-1.4678762,-0.68490136,-0.40358317,-0.09015368,-0.1408576
SNRPF,-0.63910615,-0.108739614,-0.37419295,-0.3363706,-0.10151321,-0.54563385,-0.40179068,-0.41705292,-0.38786733,-0.37453896,-0.3681302,-0.33534244,-0.36929145,-0.92339003
TXNRD1,-1.0557039,-1.0249351,-2.2942495,-2.8121128,-3.1471367,-0.12538117,-0.12955916,0.15406698,0.38003433,-1.1364715,-0.022575974,-3.4928925,0.416605,-3.0295386
CORO1C,-2.2663646,-0.36922556,-0.9058845,-0.29195544,-0.5476495,-0.7550229,-0.58661836,-0.60681725,-0.34435079,-0.49112612,-0.60689694,-0.12042871,-1.7869718,-0.83414567
SH2B3,-0.5302548,-0.40463817,-0.29190037,-1.349844,-1.4364743,-0.3143501,-1.2512466,-0.5650947,-1.8888977,-0.026254594,-0.18536732,-2.3369083,-1.270703,-1.7284509
ALDH2,-0.75170636,-0.26317433,-0.19054438,0.104161546,0.36632967,-0.24921215,-1.1398935,-0.9735932,-0.5428776,-0.43920973,-0.6671245,-0.060022905,-0.74502444,0.15806347
ERP29,-1.1867118,-0.6762723,0.13581702,-0.06853015,0.038014382,-0.34918833,-0.3569634,-0.5018934,-0.6051066,-0.32824776,-0.44863653,-0.28624043,-1.0409527,-0.3799945
CIT,-0.67717373,-0.8726008,-0.29076046,0.02306439,-0.43011153,-0.1268104,-0.72392,-0.89502746,-2.771077,-0.6197162,-0.53233004,0.024792105,-0.53358454,-0.21525878
POLR1D,-0.37519485,-0.4412072,-0.79860926,-0.5496379,-0.36228436,-0.0059489906,-0.83913225,-0.24871984,-0.44092113,-0.3761645,-0.26796815,-1.4433684,-0.42535836,-0.613422
FLT1,-0.21168381,-0.2655033,-0.36483812,-0.16788213,-0.20372638,0.17167005,-0.042025834,-0.0044788867,-0.0534088,-0.57572365,-0.17010102,-0.16398089,0.17437682,-0.14254294
POMP,-0.21359745,-0.3225997,-0.20792365,-0.8033291,-0.3526813,0.012089282,-0.089707315,-0.24044868,-0.33229634,-0.77099836,-0.28935432,-1.1902643,-0.3198277,-0.25116214
KL,-0.93480194,-0.67773676,-1.7873005,0.04445809,0.36725593,-0.55418515,-0.9217328,-3.0017889,-0.50268626,-1.7897828,-2.1749048,0.2926283,-0.7548541,0.32234114
POSTN,-0.02901113,0.6927656,-4.7374105,-1.1567587,-5.1608753,-5.203761,-3.2126787,-1.1800121,-3.6932838,0.5103955,-3.581753,-2.2320275,-4.023174,-4.534751
LHFPL6,0.29874212,0.27201968,-0.21581525,-0.38855788,-0.32369518,-0.5144767,-0.08704825,-0.24255317,-0.7441122,0.19897836,-0.5410309,-0.28124496,-0.25571904,-0.37425053
RGCC,-0.4581725,0.22428334,-0.5183659,-0.35564595,-0.75908184,-0.3556321,-0.913877,-0.32935587,-3.6620173,0.11035982,-0.5472275,-0.23620471,-0.1687675,-1.3668109
AKAP11,-0.84922445,-0.5286289,-0.83083093,-0.8606751,-1.1362913,-1.1076454,-0.54052204,-0.5690702,-0.9161626,-0.4734819,-0.36470878,-0.62134886,-0.63680404,-1.4164834
TSC22D1,-0.48868397,-0.09341362,-0.14333513,-0.46388918,-0.4358102,0.11477384,0.036807895,-0.09471126,-0.28484166,-0.30003563,-0.12241529,-0.3036576,0.092128605,-0.20198356
LCP1,0.2696398,-0.4720948,0.6476542,-1.3587544,0.33419007,-0.3166534,-0.34984192,-0.7276443,-1.4515942,-1.7297051,-1.4274409,-3.2938337,-1.0951891,0.5914725
ESD,-0.48308322,-0.114946276,-0.8848207,-0.46074155,-0.8933667,-0.3049573,-0.2943293,-0.18324926,-0.33650494,-0.22632253,-0.3404403,-0.7808366,-0.29862508,-0.39516333
COMMD6,-0.5956185,-0.2725918,-0.0120794475,-0.5337405,-0.24088314,-0.03904143,-0.33925796,-0.25028786,-0.26520333,-0.26969582,-0.13507868,-0.47708464,-0.26441848,-0.24615867
COL4A1,0.14162675,0.16406256,-0.4332312,-0.2138463,-0.35159153,-0.16616316,0.056314215,0.005968794,-0.6389585,-0.02551084,-0.13373445,-0.49501255,-0.057158764,-0.5181849
COL4A2,0.1317908,0.08783874,-0.4817379,-0.19906639,-0.4946786,-0.11701473,0.17730603,-0.0018970594,-0.47160023,-0.0046401396,-0.17215973,-0.50268567,-0.031955473,-0.41294593
MCF2L,-1.3509648,0.07434428,-3.603601,-0.6220614,-0.84294873,-1.3249935,-1.6782465,-0.70908856,-1.2654064,0.3205049,-0.6784089,-0.08612728,-2.6599767,-1.7537912
GAS6,0.1077947,0.3180263,-0.11792119,-0.5157885,-0.7266211,-1.6594179,-0.26800188,-0.5751827,-0.41555792,0.3453108,-1.2022866,-0.6299456,-0.32189837,-0.28803116
RNASE4,-1.6569922,-0.30476308,-1.1293005,-1.0410328,-0.47205293,-0.121545315,-1.253411,-0.13982528,-0.066713035,-0.46961445,-0.048561066,-1.4972037,-0.44168139,-0.39537132
NDRG2,-0.51643324,0.21612,-0.5077251,-0.0170459,-0.41003498,-1.1467279,-1.6448244,-3.250071,-1.1981828,0.10590786,-1.2950299,0.2717749,-3.1072333,-0.013917118
TRAC,0.21917063,-3.8490891,0.86484766,-2.5166519,0.28378576,-0.3914188,-1.3426777,-3.0222483,-2.578445,-3.4439368,-2.2825413,-3.5989733,-2.1364202,0.112369716
DHRS4L2,-1.3127303,-0.5274962,-0.87512165,-0.17790478,-0.92163396,-0.87749493,-1.5898349,-1.3497107,-0.1784656,-0.35681543,-0.3855899,-0.2381489,-2.359654,-1.6922462
PSME2,-0.027852625,-0.22173393,0.5437231,-0.2362055,0.4227236,-0.25538948,-0.19189857,-0.72735023,-0.47677025,-0.68525213,-0.8902866,-0.32810575,-0.35197133,0.4549706
CHMP4A,-0.83927506,-1.0999596,-0.22490212,-0.74626714,-0.45282012,0.1041013,-0.4646737,-0.10618222,-0.3671507,-0.5768538,0.08681601,-0.9257288,-0.58439445,-0.8221136
CLEC14A,0.058642387,-0.2931131,-0.9255128,-0.73414135,-1.4357282,-0.4767303,-0.44224435,-0.14043535,-0.4248355,-0.3153196,-0.29504874,-0.49729937,-0.03972268,-2.8014805
MGAT2,-1.4302201,-0.6209066,0.16404945,-1.230342,-1.2778639,-0.5694842,-2.7108893,-0.5063574,-0.2971158,-0.75960934,0.1815548,-0.7304327,-0.6823833,-2.5786982
PYGL,-1.1307402,-0.72635233,-1.1124146,-0.35355735,-0.8142152,-0.11096221,-1.0670462,-0.56056845,-0.6415566,-0.09460357,0.08949524,-0.20401338,-1.3904914,-2.4634495
NID2,0.33306897,-0.09520453,-2.356086,-2.237598,-1.5383146,-0.9430775,-2.1839988,-0.10348827,-1.1668293,-0.07098228,-0.23538136,-2.7645917,-3.2290523,-4.247689
LGALS3,-0.9023817,-0.26074675,-0.35360646,-1.2141291,-0.17937428,0.06560582,0.10779512,-0.13919352,-0.22392109,-0.647677,-0.092806295,-0.79821783,-0.2831598,-0.26351228
CCDC198,-0.94129753,-0.24382585,-1.117317,0.028781563,0.23676914,-0.61496615,-0.34114116,-1.123126,-0.6745869,-0.20782137,-0.989595,0.13807395,-0.33360636,0.23303246
HIF1A,-0.040381417,-0.27897295,-0.19078624,-0.56239295,-0.36261714,-0.215085,-0.17108163,-0.16483812,-0.42110384,-0.7031318,-0.21127778,-0.5289725,-0.40711093,-0.2514747
MTHFD1,-2.9340897,-0.23543963,-2.8519168,-0.031360805,0.046212494,-1.9445952,-0.79899526,-1.7358333,-0.8235182,-0.60179085,-0.6395474,-0.30078855,-2.9494908,-0.42347944
ARG2,-2.0331392,-1.5458832,-1.0129337,-3.227118,-2.2045727,0.45945024,-0.1359097,0.14921087,0.2507969,-0.68360734,0.43642795,-1.7571228,0.16519684,-3.5849292
ACTN1,0.009675354,-0.29435474,-0.6329787,-2.2814069,-0.9471611,-0.250176,-0.024090022,0.059234977,-0.0010654032,-0.38189203,-0.23558506,-3.116102,-0.24045584,-2.6944916
ENTPD5,-3.060415,-2.8223152,-1.7961544,0.44087237,-0.05805707,-1.6238482,-1.2041738,-3.6032517,-1.2810853,-1.1819383,-2.167097,0.8337319,-2.6959429,-0.19978222
ABCD4,-0.9257586,-1.7146568,-0.19687882,-0.2396656,0.13468623,-0.35039622,-0.68646324,-0.50250375,-0.5974542,-0.491052,-0.5220469,-0.9456121,-0.7465563,-0.40930298
PGF,0.114088595,-0.14348893,-0.5952711,-0.36267048,-0.61392426,-0.023788512,-0.20123492,0.0038859993,-0.84962565,-0.2393239,-0.17696556,-0.6832217,-0.52435017,-0.6443498
