,Shared topic 2,Shared topic 3,Shared topic 6,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
0,-5.395298,-3.8133588,-1.575226,-1.840421,-1.9373065,1.6855574
1,-3.644968,1.6332691,-1.9359283,-1.2270163,-3.097717,-5.9975023
2,-3.9823852,-5.3001533,2.0925927,-1.4617211,-2.1128237,-4.4461274
3,-6.2664485,-5.090723,-3.0784225,2.0841398,-3.4637432,-6.531758
4,-6.0180197,-3.1845508,-1.5455072,-1.0496554,-1.5394108,2.0166028
5,-5.8261905,1.6916004,-1.6772285,-1.2375464,-0.5791141,-2.323668
6,-6.859844,-5.603065,-2.2240427,2.081141,-3.0895107,-4.2557173
7,2.0267828,-3.923359,-1.8459944,-0.6210189,-0.9801574,-2.3911738
8,-6.876528,-5.864845,-3.0218842,1.9911163,-5.1992826,-6.7012177
9,-5.322634,-4.3511057,2.100613,-1.5529214,-1.0280855,-5.9070587
10,-6.3538656,-6.3828907,-4.5335383,-3.6186411,2.0066113,-6.3497686
11,-6.5891733,-3.8222866,1.9470903,-1.1802119,-2.3125,-5.527599
12,-6.238229,-4.3054285,-2.727995,-1.7999085,-1.9622073,2.0410426
13,-4.8897905,1.6452848,-2.46887,-1.5967898,-1.815136,-5.182689
14,-2.5316927,-3.313726,-1.609478,-0.8206265,-0.9933559,2.0528028
15,-6.250091,1.618232,-1.637383,-1.7646052,-0.60080266,-1.6814276
16,-6.4688797,1.4936404,-1.7178123,-0.6954187,-2.6900408,-3.0613256
17,-5.9095473,-5.3999915,-2.8726072,2.1590323,-4.0367956,-4.12677
18,-4.485523,1.6747814,-0.7681234,-3.5592027,-2.0276744,-6.1633153
19,-5.46979,-4.292623,2.0126333,-1.2244568,-0.7900086,-3.4960396
20,1.982173,-3.4109128,-1.7619665,-0.80138075,-0.9088834,-4.926685
21,-4.4859476,1.3865111,-1.8469129,-1.5568758,-1.814528,-3.6732895
22,2.0239851,-4.5083017,-2.3613808,-0.9156842,-1.047377,-2.3464842
23,-5.5946484,-5.0748286,-2.2133825,-2.7648425,-2.3949673,1.9431634
24,-6.0412655,-1.969588,-1.5994658,-2.165091,-1.2170137,1.9696093
25,-6.3219213,-5.768138,1.9549437,-1.4626825,-1.5088472,-6.2775097
26,-5.58175,1.3868432,-2.4012654,-1.373754,-0.9916878,-5.7519555
27,-5.324815,1.650307,-0.696385,-1.158314,-1.3355796,-4.4176207
28,-3.5561233,1.7062199,-1.5106294,-0.75227535,-0.80300385,-2.9409912
29,-6.700325,-4.6175156,-1.9840385,2.3430393,-2.972936,-5.9812164
30,1.978442,-1.7835443,-1.2892253,-0.49525797,-1.0007151,-4.8953605
31,-5.2461314,-4.6183276,1.8996702,-1.6887159,-1.4713056,-6.2829566
32,-6.6691704,-4.890502,-2.8823104,-1.4533795,-1.8644109,2.0110476
33,-7.0258074,-4.4585943,-5.479562,-4.550441,2.189965,-4.3836284
34,-5.7173333,1.4388373,-1.9852753,-1.9012299,-1.13528,-6.242326
35,-6.1464925,-2.7433307,1.9359154,-4.2035084,-2.3055615,-5.0899105
36,1.8571916,-3.9753954,-3.9721673,-1.3606641,-0.8939952,-5.200362
37,1.9700837,-3.1006682,-1.6795809,-0.7758319,-1.2558501,-1.7220176
38,-4.939279,1.6704128,-2.1307907,-1.0776758,-0.83245885,-3.1017785
39,-6.4903955,-4.2486687,-2.4970324,-3.0975113,2.1566455,-6.26736
40,-6.220129,-4.403364,1.7818922,-2.954192,-2.6145644,-6.3161635
41,-4.9358773,-5.364574,-1.6806357,2.2553558,-2.0830834,-4.709261
42,-6.328719,-3.1963177,-4.8220463,-4.9701,2.0328412,-5.815977
43,1.9686892,-3.2085161,-1.376518,-1.1651402,-1.5130851,-4.6909676
44,1.8669899,-2.481381,-2.6315112,-1.1534852,-1.3408344,-2.3890145
45,-5.549562,-5.2039795,2.0175786,-0.8414487,-1.2592975,-5.991936
46,-7.070592,-6.628331,-1.8670229,-4.673583,2.0015333,-6.7203245
47,-6.748258,-3.946446,-1.8045737,2.2235994,-3.6599016,-5.259652
48,-6.35709,-5.241523,-1.694901,2.1202955,-4.7136364,-5.5532475
