,Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10
76,-5.262822,-1.9826607,-2.8712397,-4.1604986,-2.4533167,2.128728
77,-4.948778,-1.3025706,2.3964071,-3.9007845,-4.0362825,-4.027733
78,2.4186208,-1.7224617,-2.4468899,-4.365057,-3.9359975,-4.7850337
79,-3.6185038,-3.9638336,-3.953862,-4.048835,-1.6133292,2.572232
80,-3.3073046,-1.8692691,2.0066388,-3.9605193,-0.96458864,-3.3536787
81,2.5039356,-1.6267691,-2.6963696,-3.08601,-3.4652529,-4.0233183
82,-4.4421535,1.7834947,-4.3886404,-4.040213,-3.017646,-4.472374
83,-4.338494,2.121999,-2.2846618,-3.1720743,-1.132781,-4.4869146
84,-5.066806,-3.1357317,-3.6975493,-3.3090432,-4.311535,2.7705226
85,-4.4714527,1.935602,-2.1020238,-3.7646468,-3.269448,-4.0568166
86,-4.965388,-2.2857065,-1.5220623,-3.0522912,2.1201632,-4.1627617
87,-3.984904,-2.9076395,-3.2338526,1.9895389,-1.5904183,-4.7218723
88,-5.7337766,-3.4887013,-3.668132,-4.4083424,-4.024778,2.410324
89,-5.598688,-1.9837558,-2.9084482,-3.9426134,2.4989765,-4.233073
90,-3.4693775,-1.5856361,2.303124,-3.4720764,-4.324309,-4.551129
91,-4.211568,-2.9269667,-1.8498421,1.9681607,-3.995546,-4.8736587
92,-4.0803995,-2.597729,-3.67024,-4.0554934,2.5467334,-4.3076468
93,-4.896841,-2.1267543,-2.9890223,-3.2148778,-2.3334527,2.510616
94,-4.4627404,-3.1930642,-4.0256634,-4.0857673,-2.8124301,2.9109917
95,-3.5802002,-3.2138958,-1.940742,1.9527527,-3.9954476,-5.058133
96,-4.3037047,-3.8410091,-3.465374,2.0741751,-3.1857805,-4.7203894
97,-5.135135,-4.421978,-1.3445847,-3.9495864,-2.7927222,2.584191
98,-4.65572,-3.2555695,-2.621161,-3.937918,-2.1425445,2.840935
99,-5.288252,-4.2001653,-3.332996,-4.221752,-0.48516214,2.5033798
100,-5.2979145,-2.270967,-3.9544601,2.2691698,-4.5777354,-4.8270245
101,-4.1967826,-2.159558,-2.187785,-2.9419017,2.038476,-3.9761815
102,-5.0905433,-2.478109,-3.7227082,2.4592757,-0.9885299,-4.6914296
103,-5.1273584,1.7088981,-4.2462645,-4.103439,-2.5500112,-4.7915206
104,-3.9463196,-2.837319,-3.7078857,-3.3045015,2.5212233,-3.5816898
105,-3.7952023,1.9699764,-2.0021362,-4.187783,-3.2319622,-4.269113
106,-5.2364025,-4.0372987,-3.7618775,-3.5550458,-3.7508004,2.7411053
107,-3.9396017,-3.4114609,-2.736571,-3.0949078,2.2614632,-4.5239472
108,-5.0095854,-3.9598591,-3.1213686,-3.1411927,2.6143942,-4.466122
109,-3.915779,-2.81807,-2.3644176,-4.056457,2.140702,-4.199629
110,-5.1291094,-4.228739,-3.2516098,2.236577,-3.741708,-4.781634
111,2.2921724,-3.211659,-2.5288854,-3.1345725,-2.6891835,-4.6615133
112,-4.8776464,-2.6988063,2.1424363,-3.593789,-4.6132436,-4.616283
113,-5.3377028,-3.0761995,-2.3553245,2.1776447,-3.7865727,-3.7836947
114,-5.154561,-3.8747582,-2.20992,2.3280416,-4.1619744,-4.5806274
115,-3.9748206,-1.2308872,-4.538061,2.096388,-4.816657,-3.7380602
116,-5.3932815,-2.3767045,-4.795086,-3.4929113,-3.3048463,2.9510224
117,-3.6318858,-1.6873951,-0.48683798,-2.9161167,2.623121,-4.7079635
118,2.2062745,-1.7719476,-2.9645333,-4.054847,-4.145591,-4.162201
119,-4.7213373,-2.0137784,2.095851,-3.7877345,-2.19795,-5.0929046
120,-4.81475,-2.3168774,-4.5077944,-3.654819,2.3714674,-4.5926976
121,-4.646837,-2.4063916,-2.0740752,-3.9791336,2.4309568,-4.725013
122,-4.5117035,-2.1266756,-4.405035,2.2566154,-4.3568144,-4.2003813
123,-3.6141722,-4.650755,-3.846085,-3.645494,-2.239902,2.3613813
124,-4.9523993,-1.5945779,-3.0956504,-3.3290064,1.8329768,-4.417962
125,2.3061428,-3.0512166,-2.9100556,-2.8621035,-4.32819,-4.400129
126,-3.6195452,-1.0808983,-2.1680956,-3.1360326,2.4871578,-3.980021
127,-4.802638,-2.7315469,-3.9046798,2.1072779,-3.6816616,-4.8813324
128,-4.355177,-2.4072034,-3.0195878,-4.0134554,1.9291322,-3.4478056
129,-4.5886035,-3.2743764,-2.5773413,-3.5432997,-0.81496793,2.7565875
130,-3.955055,2.1600673,-2.070283,-4.3283253,-3.097154,-3.7866344
131,2.2522788,-2.7521763,-2.7722995,-2.6429496,-3.2162516,-3.677884
132,-4.8908606,-3.3049715,-3.0599506,-3.9426017,-2.6143758,2.41676
133,-3.7686293,1.7462846,-1.0005149,-3.7181015,-3.8006673,-4.494085
134,-5.240811,-3.6712732,2.2090993,-3.9534583,-4.278409,-4.7398825
135,-4.1630955,-1.3133981,-2.7657776,-3.2629702,2.3793156,-4.6567264
136,-4.4578705,-2.5849116,-2.3826056,2.1383228,-3.6584516,-4.62838
