Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6,Omics 2 private topic 5
0.02920261,0.32170638,-0.108424485,0.1924918,-0.22592925,0.34430584,-0.42119145,-0.38151318,-0.22629109,-0.10087547
-0.055613164,-0.08601148,-0.34913558,0.12228106,-0.38780376,-0.16201136,-0.54533243,-0.08660738,-0.29869202,4.027822
-0.15094157,-0.44022292,-0.3593281,-0.48534697,-0.19119866,-0.4726081,-0.42821524,-0.3903241,-0.2109056,-0.04220356
-0.19447547,-0.9218266,-0.53996354,-0.45428818,3.2887597,-1.0005536,-0.7233593,-0.39715433,-0.26708847,-0.32307214
-0.26923528,-0.34368104,-0.40784958,-0.47177762,2.8810153,-0.73553616,-0.37590277,-0.3737223,-0.2612787,-0.33982614
3.2107224,-0.44789308,-0.3383807,-0.44100475,-0.352979,-0.14113267,-0.2085506,-0.40273747,-0.29401743,-0.27325794
-0.6039181,-0.18178025,-0.4776423,-0.26978356,-0.3381561,-0.5484954,3.5841339,-0.29750898,-0.21598586,-0.43257883
0.054504365,0.255771,-0.2611095,-0.06438874,-0.20092642,-0.32974082,2.7909865,1.2103103,0.024851322,-0.39922416
-0.9826561,-0.48454455,4.042702,-0.3441152,-0.43841043,0.08266095,-0.42389238,-0.20547538,-0.17571332,-0.46071017
-0.11459783,-0.3409027,-0.08641645,0.07996933,-0.46981543,0.1528438,0.12272696,-0.3091094,-0.2515858,-0.24416639
-0.23587295,0.077346385,-0.68455327,-0.059322838,-0.39274275,0.07629725,-0.24820969,0.028084517,-0.23081073,0.10058045
-0.100092076,0.05976694,-0.024469448,-0.374844,-0.13671647,0.17242262,-0.019731157,-0.25517792,-0.07846554,-0.3139318
-0.2699713,-0.2513247,-0.15509285,2.4591749,-0.2987845,-0.42305058,-0.40286845,-0.3323821,-0.2882174,-0.6863402
