,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6
50,-0.43584156,-0.7947266,-0.99996597,2.6534908,-6.2613506,-3.4658208,-1.5498282,-0.3828263,-4.2959495
51,-0.2806278,-0.9977627,-4.579344,-5.019122,0.09616113,-3.0311482,-1.9921391,-0.52771974,2.653917
52,-1.9416705,-4.6622014,0.31361365,-3.2301621,-6.19609,2.9968848,-4.617024,-3.7410502,-4.150392
53,-6.2832675,-4.428222,2.7308621,-4.678343,-5.001051,-0.73759663,-1.9348818,-2.4688437,-3.721584
54,-3.987785,2.2834754,-1.4306521,-5.8469014,-5.564261,-4.134444,-3.4847436,-2.7674134,-5.05179
55,-1.9804556,-2.9165618,-1.6390885,2.7231305,-2.4996407,-5.3587356,-1.2746661,-0.19701034,-3.9904442
56,-0.45140913,-1.6691196,-1.7525239,2.5094905,-5.90203,-5.2225256,-3.3488922,-0.3535193,-4.279065
57,2.836962,-3.212356,-2.9693956,-5.6365294,-5.1569796,-5.2134585,-0.050665796,-0.7482135,-4.740049
58,-0.31223056,-1.7095791,-0.99194515,3.0197003,-0.2623428,-4.1543007,-0.3034556,-5.0308914,-4.390392
59,-3.980982,2.644168,0.24573255,-3.4466002,-6.0665803,-2.9174201,-0.33829755,-0.7932618,-3.8932176
60,-6.0235147,-4.468691,-3.12779,-4.966513,-5.1994557,-3.7210493,-5.554607,-0.24925682,2.9906223
61,-0.5796205,-2.035706,-4.60064,2.943194,-4.872459,-5.4987717,-0.26522744,-0.27208057,-4.990458
62,-4.9250665,-0.48932147,-2.5598326,3.0383794,-5.750793,0.082084596,-3.9169536,-0.9962129,-5.090983
63,-0.7527076,-2.0070984,2.4820044,-5.1158347,-4.163064,-5.869084,-0.9687724,-1.0487348,-4.751145
64,-6.50745,-4.2991195,-6.223734,-5.8546305,2.8395665,-3.5103607,-1.748984,-1.7335986,-4.892114
65,-3.020602,-5.1737704,-0.96619445,2.3333733,-5.361634,-4.984059,-0.9419361,-0.5471194,-4.1992702
66,-4.8827915,0.2951306,2.8051994,-4.2790947,-4.9171133,-0.7214842,-3.429937,-0.8348522,-4.5184436
67,-3.1979148,2.4103966,-4.333944,-5.890398,-5.7319946,-5.3421984,-3.5935326,-0.56929797,-5.25587
68,-0.3726864,0.0789305,-2.215898,2.6538975,-3.013079,-2.1302338,-5.0927815,0.059957445,-4.4554195
69,-6.764174,2.6390877,-3.2545571,-5.5298996,-5.286776,-5.290333,-4.25646,-1.3749981,-5.2678657
70,2.852329,-2.789417,-5.104185,-5.639876,-5.186022,-5.236084,-1.274359,-0.59929967,-2.7598755
71,-1.1486769,-5.1393447,-1.3438897,2.773128,-6.587497,-5.8753414,-6.1230016,-0.36410275,-2.0530524
72,-1.055229,-5.637258,0.368702,2.777363,-6.544113,-6.0603895,-0.005598158,-2.415854,-4.5690436
73,-2.585978,-4.9816265,-5.631688,-4.5766087,2.9857562,-5.7724447,-0.26546752,-0.4943049,-0.6782285
74,-5.9859185,-5.329507,-2.4225893,-3.1851122,-0.9416894,2.7018723,-1.5957335,-0.56689596,-3.0088506
75,-0.24016547,-6.2111363,-1.8109345,-5.781064,-3.0527453,-5.3922777,-1.5139114,-0.34323597,2.7954063
76,-4.79284,-2.3870435,-2.1141744,-5.3064566,-5.0589805,-1.5346289,2.5835953,-1.4141206,-4.955131
77,-5.646003,2.762839,0.022295296,-2.9955003,-4.158242,-4.0142765,-4.4669905,-0.54595816,-2.4741325
78,-2.4565535,-1.4641826,-2.1651807,-6.6951957,-5.9167295,2.5764914,-0.59815186,-0.5098927,-3.7706108
79,-4.0118556,-1.6111567,-4.959295,-4.7664986,-5.775224,-2.8309388,2.8106909,-0.62251276,-4.1483974
80,-4.5122027,-3.9837134,-5.195131,-4.8644276,2.9619288,-3.736685,-5.3055644,-0.9426758,-5.3531766
81,2.6796556,-2.3272069,-2.3630488,-3.8526206,-4.299834,-5.0483923,-6.0328226,-0.5236119,-5.3064713
82,-1.7824024,-0.8252833,-1.3168874,-4.596347,-1.7904663,2.9066818,-6.1236587,-0.6754154,-2.7486427
83,-1.0110408,-5.3391304,-1.216536,-4.194085,-4.3139143,2.7948394,-3.7418535,-1.0470302,-3.301509
84,-5.4735627,-1.3440363,2.622079,-6.0782366,-3.214931,-3.7616339,-0.31369257,-0.5496554,-4.950411
85,-1.9478707,2.6371632,-3.8542447,-4.5533633,-5.9992876,-5.9960837,-5.249271,-3.5679152,-4.2955055
86,-5.2764597,-1.667389,-1.9774147,-6.50264,-4.304273,-0.24131486,-3.3083022,-0.46005663,2.6116936
87,-1.5797603,-1.5445042,-1.8771292,2.793276,-4.5192137,-1.3609545,-2.5875926,-0.35930818,-0.46753347
88,-6.21087,-2.1033998,2.9287825,-1.5642242,-6.5095625,-2.3557324,-3.0336301,-0.5304327,-2.1523285
89,-6.029648,-3.4024837,-5.851554,-2.056481,-5.4300056,-4.041686,-4.405658,-0.36358535,3.0432487
90,-1.6261789,-0.5592436,-2.5477362,-1.1095902,3.1553762,-6.691626,-6.699844,-0.595235,-4.4345264
91,-5.1067944,-5.0372014,3.0138116,-2.7946775,-1.2726979,-6.045193,-0.9243378,-0.36207336,-1.9798933
92,-4.9210544,-1.4817209,-3.52168,-5.694814,-4.382468,-3.5881684,-1.9516361,-0.49484384,2.752006
93,-0.101127476,-1.0345641,-5.907215,-3.5227427,-5.246974,-0.11069003,2.7354033,-1.7043438,-3.8227894
94,-3.268175,-3.4147625,-4.473197,-3.0675943,-5.3371463,-0.90786594,2.9063058,-0.43137556,-3.8153918
95,-5.5087223,-1.2437334,2.7900114,-4.3327255,-2.3551219,-4.8914666,-5.264463,-0.39868748,-4.402442
