,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 2 private topic 5
57,-5.3947506,-2.2608705,-6.0341463,-6.61261,2.8077264,-1.6649897,-4.3670464,-1.4422793
58,-0.53255105,-5.3182807,-6.72618,-2.7271812,-6.3858213,-3.9419384,-6.711418,2.5756652
59,-3.9440455,-3.1722565,-6.855431,-4.8375187,-7.3013864,0.21535462,-6.058019,2.4905937
60,-0.75438726,-3.2928953,2.4276404,-5.3834567,-6.8967924,-1.9641665,-2.3137474,-1.7794868
61,-2.4441552,-1.862486,-6.719268,2.780937,-6.867325,-3.8654997,-6.645852,-1.5898856
62,-0.8460842,-1.4904909,-5.443771,-3.5873876,-6.713651,-1.8534648,-6.360621,2.5509245
63,-1.8812164,-4.999931,2.3439958,-3.5734446,-6.3884277,-0.70619303,-6.315467,-0.9342061
64,-5.186487,-3.0250032,2.2737446,-5.9907417,-6.939891,-2.4805574,-6.7342453,-1.2363987
65,-0.7546638,-2.5653746,-6.039629,2.7657144,-7.716979,-0.7401599,-5.9200153,-1.5250577
66,-5.7953773,-2.2220702,-6.1996837,2.7394426,-6.925645,-0.872388,-5.2895036,-5.0530825
67,-4.699294,-0.9472765,2.4116728,-6.3950567,-6.0718117,-0.9144154,-5.7018294,-6.1854067
68,-0.78049016,-3.0341458,-6.563772,2.8491948,-6.7842965,-3.3082747,-5.6501946,-2.266324
69,-0.7207917,-2.292664,-6.897913,2.7843373,-6.2075086,-1.1289641,-7.6445355,-4.811339
70,-1.8266163,2.5035675,-4.8424406,-5.399025,-6.67066,-1.0847982,-6.0259733,-4.6413336
71,-1.8872224,2.4261305,-7.0223637,-6.351935,-6.9313474,-2.5730534,-6.9268093,-5.4250073
72,2.858388,-2.3403096,-5.307752,-5.5602818,-6.098869,-0.61812156,-5.366103,-1.9057996
73,-0.33121407,-4.3457394,2.3528852,-6.842182,-7.3349,-3.0612662,-6.245679,-4.015205
74,2.9185092,-6.020141,-6.3305244,-6.401659,-7.4469523,-3.065182,-5.996598,-1.8753499
75,-1.9065737,-5.3345795,-7.427948,-7.275074,2.7067413,-3.6072848,-6.290654,-1.888772
76,-6.331135,-3.514523,-6.4653716,-5.6226854,-6.716591,-6.114587,-6.7292,2.6390345
77,-0.35214382,-5.182442,2.3961957,-3.717015,-5.65257,-3.2765734,-6.579515,-2.8690336
78,-2.6060581,-3.063503,-6.5194836,-7.029961,-7.1458755,3.1077535,-5.3399625,-4.9807053
79,-2.2774553,-1.5210276,-6.1848493,-3.378399,-6.2986755,-5.001768,2.7480175,-2.3112826
80,-4.794068,2.4170282,-6.186389,-6.2452083,-6.6226726,-2.2406962,-5.192185,-1.8860377
81,-0.7686982,-2.372394,-6.315474,-6.4978952,2.6736114,-0.6763052,-7.214428,-1.8923656
82,-1.0533154,-1.107315,2.3401308,-6.187731,-6.1003304,-1.4280908,-5.630561,-3.7878597
83,-2.082107,-2.7796304,-7.3627725,-5.837938,2.7433064,-5.3731084,-6.334169,-1.5320263
84,-4.4684434,-0.91383374,2.4290707,-5.292446,-6.5907,-0.84700274,-4.8395324,-0.65198046
85,-1.6854128,-5.2309475,-6.658845,-6.5768585,2.6884644,-1.4141712,-6.541819,-0.7787256
86,-4.1317577,-2.0379014,-6.633148,-1.8435374,2.797623,-1.5519869,-6.2360783,-2.3900037
87,-1.4176552,-4.388976,2.4207573,-5.7264376,-6.271788,-3.8839858,-7.3684306,-6.031148
88,-0.7776947,-1.5456471,-6.4297748,-6.857297,-6.9154673,-0.8160782,-5.128848,2.5697875
89,-0.8498497,-0.43877488,-6.844756,-5.1502857,-7.163751,-2.4151626,2.6300035,-0.8733125
90,-0.8412168,-4.823043,2.3361583,-4.468377,-7.248531,-0.7391229,-4.9141397,-1.0432751
91,-1.5449532,2.4299457,-6.686803,-4.927373,-6.4291577,-1.4983009,-6.877642,-5.967919
92,-2.217243,-5.8564005,-7.3731318,-5.521859,2.731057,-0.87331665,-5.0942154,-1.7859831
93,-0.553174,-4.065132,-5.8911686,-6.2016296,-6.0763764,-1.8140671,2.7155192,-2.2381048
94,-1.6703751,-1.72007,-6.1164327,-5.8875074,-6.2764025,-1.7891418,2.6192067,-1.5523295
95,-2.4653924,-3.0303009,-6.389841,-5.411277,-7.316418,-0.3094324,2.6786435,-1.3708842
96,-2.435965,-1.5981475,2.3613493,-5.908611,-6.60048,-4.3976097,-5.6029096,-2.1637886
97,-1.7993273,-2.103837,-6.7506795,-3.9529266,-7.307157,0.22629029,2.6030529,-0.81124425
98,-5.5264983,2.431704,-6.138136,-5.472511,-7.093132,-1.3544239,-7.1455255,-7.052822
99,-0.81663346,-4.955018,-6.935612,2.7666967,-6.6908135,-0.07621688,-5.746668,-1.8609439
